id,year,Lat,long,date_median,forb_kg_ha,grass_kg_ha,litter_kg_ha,pasture,season,low,high,shape,radius_m,herb_kg_ha,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2
los1,2015,43.14323135,-116.7361871,2015-07-07,90.25,95.88,,los,peak production,,,circular,60,186.13,0.3129583311322183,15.51582007988617,0.17446616823452352,0.1612482714127082,0.0816358749955849,0.18440390787241237,17.799960104291873,0.11692365715528905,0.46934235727232043,0.39549040761441356,0.08696599487412014,-0.09424088969661723,0.18079896216985425,0.3566406168961056,0.05131032056509863,-0.19579695416268475,145.69646594093837,152.40335601775442,132.62071448320864,160.4809927471668,132.11414649894672,126.24788647618408,638.9870508294009,926.4695877867185,1111.5594561589774,2124.0433215850985,2566.5233346027676,1803.7970284010573
mbs1,2015,43.064119139,-116.7489159,2015-07-08,123.22,53.0,,mbs,peak production,,,circular,60,176.22,0.5925571864572541,9.843940381457084,0.23958197283666305,0.20109790814156706,0.333636060301015,0.32656391852841543,31.934369406721412,0.2524223038334114,0.5045329836254644,0.522233778876803,-0.012257267175939024,0.1027398761715997,0.32869690694685183,0.2841920410270156,0.11429620325424719,-0.12985568890786076,146.55745913078925,167.63090644012686,116.23486153735962,189.57850423096139,113.64367425306426,103.88772150844686,368.9997793691664,620.1692897885679,591.2078476890374,2312.7656175910142,1881.6941415988208,1157.1174932394758
wbs1,2015,43.168158005,-116.7130521,2015-07-01,56.38,141.53,,wbs,peak production,,,circular,60,197.91,0.2577374460222309,14.185585025480364,0.13904093407679988,0.1393840758442614,0.02143304512244713,0.1564741147582187,15.028323217373556,0.08790748070968382,0.4546574631574766,0.36480218022072086,0.11465692357900191,-0.1180184628842511,0.15506178552733305,0.3826715328711779,0.037063253538052766,-0.2141847575533374,148.87865447403087,150.91598203271343,137.03816127744187,154.45999790142724,136.58398962561213,133.0338046909924,748.0936340803285,1019.3355968512026,1264.7932431938516,2141.174309437859,2714.933461522004,2058.0759276179147
los1,2016,43.14323135,-116.7361871,2016-06-20,209.49,260.76,,los,peak production,,,circular,60,470.25,0.31376597647284604,13.378136993429646,0.1466817241494944,0.16422485793662467,0.04032737613392046,0.186718254408152,17.994062010037954,0.11667612087584849,0.48733495764216034,0.40721972818678265,0.09541177555678786,-0.1069359584893783,0.18459501686941768,0.3674987397978833,0.05046689231282026,-0.2136079846740788,149.7478208675979,154.17969600951128,133.97172430238177,159.76000799257525,132.86552431853698,127.50818940522939,658.1886639962775,922.3558764326955,1127.3731484581845,2159.726032568079,2675.704205148122,1990.6827803290018
los2,2016,43.127015833,-116.7368355,2016-06-22,203.33,323.16,,los,peak production,,,circular,60,526.49,0.38707683534017734,13.030240770489108,0.1726246940176547,0.18490643650861788,0.09221952468206543,0.21248722058552588,20.796278414611812,0.14183800451422393,0.5111959989559418,0.45460822794949307,0.06120306644819771,-0.08164754450513466,0.2103638151218645,0.318943635473553,0.06110124472747173,-0.18592370919671417,152.57774905514125,160.74412933649305,132.79348249703028,169.40435024223825,130.92836140728303,123.36404808432832,537.7011420315371,764.0719316440063,886.5898382240209,2004.3037128122592,2361.652228958543,1665.9998165601078
los3,2016,43.128021228,-116.7388411,2016-06-23,269.66,291.8,,los,peak production,,,circular,60,561.46,0.37703038345962386,13.609874183122166,0.1768181053630515,0.18984166739616132,0.09622620164962653,0.2235313517211773,21.558105966315868,0.14800272137736772,0.5246182767261353,0.44578182129154514,0.08560011544617162,-0.08183468901752068,0.2204447487155589,0.3565176406098449,0.06911447659652338,-0.20728004486074872,151.43872590661525,155.888059636497,128.58758831978793,161.3392717391677,126.53063566569709,120.391313611656,579.4298388133585,824.6708840144771,1014.7050414036252,2248.3720548069223,2645.6952994270737,1850.0740919610334
mbs1,2016,43.064119139,-116.7489159,2016-07-05,260.88,189.65,,mbs,peak production,,,circular,60,450.53,0.5846322231481005,9.355119170420261,0.2192832759594654,0.2087366060952107,0.28572905822307504,0.31900281686716264,31.262109772729804,0.24387921768680934,0.5242548175476638,0.5365705925870425,-0.008481507411642742,0.07155404401194286,0.319366293862619,0.2858167461832728,0.1092850521656384,-0.1422253887330936,148.03022116947477,168.17135057459092,118.47621671215558,189.06561256334427,115.90087842632819,106.16193049418474,364.76541976163503,611.7600249772053,592.2897061012502,2264.80253903292,1959.8221500419995,1257.592953572093
mbs2,2016,43.072781143,-116.7701807,2016-07-06,240.03,207.75,,mbs,peak production,,,circular,60,447.78,0.637324167546548,8.91932017975732,0.2561532376436989,0.224156574989545,0.36553353228104035,0.3670501493672585,35.58282385156096,0.29433189225980283,0.5277525798649435,0.5604054889878136,-0.01978385054935522,0.12287152421840275,0.3693326131951117,0.299175064495611,0.1349680142968444,-0.13628049093045697,143.3943131286092,167.42414771344588,110.59143487697146,193.466824460528,108.10020298686196,98.82362280022993,329.5731643310375,614.086650617897,562.2302113870578,2550.0238762467247,1990.143913551408,1184.611304556849
mbs3,2016,43.071059894,-116.769988,2016-07-06,229.36,229.42,,mbs,peak production,,,circular,60,458.78,0.6171838169819062,8.733850527946071,0.22752600238031392,0.2200309774990782,0.30804464689146505,0.340215113304342,33.267697154084985,0.2640637326611938,0.5372474784300327,0.5607759931515935,-0.015767636086824657,0.08721222646817392,0.33980055150940597,0.2877268119731996,0.11903271406232294,-0.142921654448955,146.4080272334284,168.57755906801407,115.68008587514532,191.90309008656595,113.13209746635579,103.45117109471215,331.8125898349139,594.2163254344958,557.2914846771064,2351.0654951148913,1976.8261148849451,1247.28034885762
wbs1,2016,43.168158005,-116.7130521,2016-05-24,167.82,332.03,,wbs,peak production,,,circular,60,499.84999999999997,0.2848597738986643,12.415417865218268,0.1254353364634293,0.1284291896022506,0.03992704139832103,0.15993954648516204,15.599498976261438,0.09545079090399725,0.44214042517482444,0.36180389010692254,0.09710934007713969,-0.08599644159219486,0.15829622187605275,0.3292545313496798,0.03943514938258,-0.17980819437656295,151.15763793932308,155.6057309652988,139.14367802001112,160.91561822057375,138.53034047940142,133.67689719523392,636.0795548435004,874.1093513386919,1055.2667171138603,1914.3732446480515,2270.1190181217194,1771.5301633012393
