ID,Pasture,Treatment,Date,Date_mean,Year,Season,Low,High,Biomass_kg_ha,long,lat,PP_g,ID_yr,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2
7,N,IMP,2020-12-09,2020-12-09,2020,12,19.0,23.33333333,692.0,-81.1804,27.1431,17.3,7_2020,0.7399001101264269,7.2405605065251475,0.31964810254824916,0.2761406436219831,0.4452981919121951,0.42993638664441464,41.619299144760824,0.3538885750377578,0.5977003694881674,0.6654999039388573,-0.037884436299969085,0.14663173971932872,0.4425542131208569,0.29628359172275376,0.1643822742099083,-0.1359614308746949,146.6864956363386,174.16763095060654,104.16829990594586,201.30855263646015,101.01906443594339,92.14467951694373,266.2897522907813,516.8228083238023,412.21760033919554,2756.4548405625223,2049.5067912418654,1055.5030358455072
7,N,IMP,2020-10-15,2020-10-15,2020,10,45.0,50.66666667,2808.0,-81.1804,27.1431,70.2,7_2020,0.7496210591155474,7.309873234664311,0.3456200905268073,0.282029206379041,0.5034665377888388,0.4763215444330895,45.584726527715794,0.42588621429158435,0.5647481121122344,0.6504411017567009,-0.04380192304701276,0.19402435542303686,0.4961084546232416,0.3353105870640444,0.19925596915598817,-0.13194414419239656,138.1232846718054,170.28850948510595,95.76333181654287,206.01264973644194,93.16690113974173,85.08107461705849,271.88314395723313,609.5888883459365,461.83472056065835,3259.31086026261,2165.0087231865086,1048.4433127129982
7,N,IMP,2020-08-13,2020-08-13,2020,8,66.0,68.66666667,2372.0,-81.1804,27.1431,59.3,7_2020,0.8299061332468277,5.440174900334932,0.41530255686984946,0.3123358444090728,0.6717135250913153,0.6427866580456599,60.61402902602552,0.692932120969947,0.4815014678529063,0.6744650794376578,-0.07334458197753649,0.35620655454216066,0.7200039842935604,0.43944341752326943,0.3233519597421592,-0.10756547506007239,123.03339365052726,172.05974428438032,72.25215128685525,227.63025002361752,70.38810215386118,64.44783739081966,295.49508484619184,811.1877756984187,453.1015826377578,4877.203491335563,2321.489352513687,960.675379561852
7,N,IMP,2020-06-11,2020-06-11,2020,6,49.0,49.33333333,3288.0,-81.1804,27.1431,82.2,7_2020,0.750331778257048,7.125627617054336,0.35399079638788844,0.29171673590256775,0.5233212292571938,0.5290986553221835,50.23873314654198,0.521900050765616,0.5303530274135403,0.6487674966436359,-0.04549723554911196,0.2313772824634473,0.57724680425106,0.3864954911037676,0.24391051028097702,-0.13375292192954796,134.84267909919143,171.61037405928448,88.74827595012982,211.39762057985126,86.34276671563288,79.1540832181551,324.6191364259299,705.7020772970532,502.47401233845125,3906.6161833945202,2319.537528949069,1129.9425895766394
7,N,IMP,2020-03-25,2020-03-25,2020,3,,27,2060.0,-81.1804,27.1431,51.5,7_2020,0.7720061495145641,6.557032216053383,0.3412483449465865,0.3015901940996794,0.5013356143476049,0.4986532338931994,47.48315247262603,0.4479706878948459,0.5779425851187232,0.6802305882386354,-0.05221281263157389,0.19359625510206596,0.5428251739423176,0.3444112177899937,0.20646415345470204,-0.14179915284025058,143.84682122687423,178.2099996136472,94.31162798500011,210.91921478439946,91.2548116657376,83.31124891277577,331.02462600369955,604.8403344083084,430.4256863070032,3352.3840390225746,2261.7927224014543,1111.7514692285845
8,P,IMP,2020-12-09,2020-12-09,2020,12,20.0,23.33333333,1264.0,-81.1739,27.1432,31.6,8_2020,0.6135309922500921,10.84495275477882,0.2927787998963043,0.28742311224399725,0.29815104604552745,0.36261950585746466,34.98656183750549,0.2834569958715202,0.6226553836664461,0.6099128971236152,0.00972689225329753,0.005995022122594526,0.36358740559902136,0.3314327464168853,0.1340935533407265,-0.18842568530001602,149.4668426578777,166.0463078995029,111.47127379266398,183.44329563167264,108.40939677150202,100.12077154709141,356.5828263687871,603.4108492746049,628.6996420941505,2624.547194534215,2593.076286886828,1417.5254143073475
8,P,IMP,2020-10-15,2020-10-15,2020,10,73.0,77.33333333,4256.0,-81.1739,27.1432,106.4,8_2020,0.7093588206289689,8.498592491516776,0.35110654174551437,0.2888916016527261,0.47795438760376185,0.480822931578129,45.75898234360771,0.45184457845703807,0.5508261805363366,0.6254979196628729,-0.029623091297104713,0.17137206930157142,0.5045442374145792,0.370321096739092,0.21250788836953316,-0.14515182305668956,135.4268510192682,166.19937431629052,94.06948874813236,203.41954204530697,91.72835763388099,84.33594543226043,305.4956545030318,692.8979531797389,553.4368839474731,3540.163631564171,2391.3157864422874,1161.6053364553622
8,P,IMP,2020-08-13,2020-08-13,2020,8,80.0,82.66666667,3588.0,-81.1739,27.1432,89.7,8_2020,0.8294178537457843,5.5403308784972385,0.422194489238641,0.2938291162528984,0.6734148592373104,0.6042034388047891,57.01006143722816,0.6085639767613906,0.5062446909150249,0.6740209027329859,-0.06473882426885635,0.35028699385104034,0.6543118118647478,0.3883983093091925,0.2881826740642159,-0.0971985530304186,127.0718194530297,170.62289680794152,77.58736759342736,220.30546688179388,75.465976595748,69.02484133630341,236.50759089937392,684.6727437109305,403.6949735043726,4325.441116623592,2081.7903859079306,844.0707792493288
8,P,IMP,2020-06-11,2020-06-11,2020,6,42.0,42.33333333,1912.0,-81.1739,27.1432,47.8,8_2020,0.7468701297884424,7.331107462948138,0.3554603037203577,0.2896001122150983,0.5418273576962552,0.5466020873387064,51.75156487337748,0.5518417265072832,0.5203665594604039,0.6265261185347653,-0.042442755750322726,0.25054145252028387,0.602385745952847,0.40997812116859145,0.26001770338885544,-0.133488992053588,132.82320515012537,169.84832946118746,84.97124801935837,211.6177623484113,82.70928157968994,75.9836040674278,355.9759118664808,753.8463264479656,553.9430530838217,4169.615385462132,2393.235974526124,1155.8175275521248
8,P,IMP,2020-03-25,2020-03-25,2020,3,,27,2312.0,-81.1739,27.1432,57.8,8_2020,0.8157870104059038,5.7219039689575775,0.36070652922833446,0.3028336090985334,0.5727469591826256,0.5462626493066235,51.83673771968396,0.5154289361517892,0.5379148026603245,0.6963893363104149,-0.07570644596235265,0.2634809321597788,0.60750100325518,0.3585677761886684,0.2350364622874605,-0.12552744608883484,137.65123462173784,180.77214475078753,87.69539397238151,220.671680731066,84.92778331493992,76.92120467000274,328.24695344394047,651.2097876893012,390.36984148907896,3687.160845270707,2175.6849357431915,1023.5369689197692
