Pasture,Date,Sample#,DW kg/ha,%moist,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2
P11,2020-05-11,3.0,703.2,77.2,0.7612407014962892,6.460798716632217,0.3134010255479772,0.29626372840733733,0.5009649431670705,0.5299850554524819,50.097148595528985,0.5159683331092582,0.5113400263628631,0.6480360129803007,-0.06942319911162037,0.22356023314625273,0.5932294428772198,0.3939799184760856,0.2303342469086771,-0.1493504540923099,134.46633535589123,177.64629710496996,88.80359801047175,221.81660432331543,86.42369294856788,78.8017936653314,404.51899252970026,783.5830460090863,519.4638954221315,3816.4482399894446,2431.7964545991103,1275.1807261422987
P11,2020-06-18,3.0,2154.4,51.0,0.6848921840782325,9.194049208428112,0.3296534244482559,0.2632555423485988,0.490360655038764,0.47354684155133525,44.827424949668526,0.4308923601833411,0.5444406096115036,0.5687763243158976,-0.01065421941458651,0.19512506599444668,0.4795671288814914,0.382074015858307,0.21095628333307717,-0.14449824296248784,132.7602739661791,158.06719861907663,91.44494438979703,191.91148268789567,89.32268200160512,82.43876672945889,302.41605485922094,709.1051941778306,661.6638627484411,3602.577143862027,2403.1782587061175,1214.1340631479359
P11,2020-08-12,3.0,4060.0,67.8,0.7585828863901741,7.4669073302848705,0.3736228786032024,0.27302108897112864,0.6036209408273397,0.5587334091126006,52.742096424718035,0.5697932701286379,0.46240167598748777,0.5950998510292553,-0.06159630984505898,0.2978449507361822,0.5945849674690988,0.4142364962904233,0.2653656997247521,-0.11596899912584843,122.98993752391668,163.1474087512192,80.54061804817175,218.5929723280505,78.89477785094624,72.04728605222914,312.47226590550326,845.4387205574112,585.2745417519527,4260.327723939358,2294.229035699635,1046.9670214591238
P11,2020-10-15,3.0,2824.0,47.6,0.5418290166420985,13.257943109134997,0.2876398427065503,0.20345019067096246,0.4134559781384344,0.3999325177700105,37.82598787966925,0.3528296022323322,0.4938267732113869,0.4342235991498712,0.0440918148890451,0.1432723158737205,0.39424669289128994,0.4690506307980488,0.18632810672651082,-0.17756540082812228,130.38599991973376,142.38253359723876,92.28791774637102,160.47171131504234,90.49613500835821,84.62239901614298,542.341910831594,1006.067367150689,1197.240371254854,3854.5500300922276,2920.119959695161,1627.8107493288635
P13,2020-05-11,3.0,1190.4,59.6,0.5517600333197907,12.51200499442506,0.27820616887405847,0.2929580248872959,0.255566705537739,0.3662153171438738,34.764779433169544,0.3115419347980861,0.5773001947390617,0.5707419697813766,0.010333377734771686,-0.022329240091410744,0.37492678279078073,0.41438413656819745,0.14191381622370913,-0.23514079775734414,139.9680783447955,160.02022143583284,107.91287081784354,184.86643654015103,105.90836534112383,98.22541463714411,499.87633643181005,861.0092879863175,886.9171728061772,3078.469706347734,3219.75515929768,1826.2047406308438
P13,2020-06-18,3.0,2883.2,60.0,0.7633081075835142,7.398654229972102,0.38046198600468284,0.3045739092332411,0.5772236402213483,0.5577069848124018,52.59659762602784,0.5536674970078582,0.5310248971974435,0.6336599749420684,-0.04853348909431899,0.25225757542079136,0.5973596492108569,0.413562650358457,0.2616758276495237,-0.1380802118495225,128.63672388216108,165.99257882763266,81.86694640323367,213.17890651026298,79.79442545948027,73.22041875076322,317.36590498853786,765.5565236353748,561.5678232229553,4185.493238108516,2499.8056271709775,1122.1417073085029
P13,2020-08-12,3.0,4727.2,59.4,0.7507312257157662,7.878929566979234,0.3826160216326206,0.28336817391875435,0.5820908019727538,0.532731078769473,50.32495542075646,0.5124089851810192,0.523262522981906,0.6116364894231291,-0.0424062416616808,0.2570154206868922,0.5588437696240093,0.3896794348895629,0.2447467586054039,-0.12555987671957616,129.25415295763455,163.61754164754797,84.53227359106121,208.09073310369587,82.42389884128411,75.56389023110431,294.144341620327,727.4832993482399,560.3711319971383,3937.728681123856,2321.571988581387,1036.7128339224823
P13,2020-10-15,3.0,3433.6,38.8,0.5141873448865212,14.399037973104004,0.29036730307276226,0.25965277652234037,0.27807722765868287,0.33125396408006735,31.56854296218777,0.2412750197377755,0.6252156772520079,0.5246161988051974,0.08522551664317332,-0.012185885479367753,0.31420981382941304,0.38189763499255747,0.13298701305520408,-0.21012715237805105,146.36718079820653,149.57333386032658,108.92626941772346,154.55683289465253,106.20032737789833,100.49639561126976,393.6002182939375,682.3785147596437,928.3065253748802,2870.2495072759384,2944.588396718011,1625.4218715247787
P14,2020-05-11,3.0,1349.6,67.0,0.5547653302109811,12.223153684211091,0.2715893798117265,0.2839107149807378,0.25504092283028085,0.3580785578260551,34.10148430442807,0.30243286113796536,0.5661321044496368,0.5683765130618323,0.0007028082455948487,-0.01634748153444316,0.36659233022384474,0.39350482206409243,0.13513199759318065,-0.2206127991671697,140.22044189682148,161.89103967141617,109.83653858796869,188.70129543961477,107.88843150480854,99.61187845569128,485.6275350646773,836.721737059244,834.3809880260635,2932.0733789204332,3022.932230647866,1734.0260680840906
P14,2020-06-18,3.0,2675.2,56.2,0.7031645263867871,9.022797138822563,0.34993097407727936,0.3053527359298042,0.48508318129976874,0.49987182193053287,47.19995458309517,0.4754378655469467,0.5545940609362316,0.6118057853028704,-0.03015310566898609,0.16407720382875626,0.5252180462229505,0.4133568123535127,0.2244352542231302,-0.16926468832271224,131.84275729542804,162.9108799430669,88.89004911519488,203.0337549911806,86.77875690697229,79.86879491019349,361.6144320365298,786.9442681677273,664.8649152220335,3834.264126940217,2748.77425156059,1325.3989480389248
