ID,Date,NDVI,NDVI_smooth,ID_simp,Year
1_AD_2023,2023-05-08,,0.7557928758562338,1_AD,2023
1_AD_2023,2023-05-09,0.7664006166813091,0.7609732765775497,1_AD,2023
1_AD_2023,2023-05-10,,0.765795333464905,1_AD,2023
1_AD_2023,2023-05-11,,0.7702384920412331,1_AD,2023
1_AD_2023,2023-05-12,,0.7742859179955263,1_AD,2023
1_AD_2023,2023-05-13,,0.7779244971828355,1_AD,2023
1_AD_2023,2023-05-14,,0.7811448356242701,1_AD,2023
1_AD_2023,2023-05-15,,0.783941259506999,1_AD,2023
1_AD_2023,2023-05-16,,0.786311815184249,1_AD,2023
1_AD_2023,2023-05-17,,0.7882582691753065,1_AD,2023
1_AD_2023,2023-05-18,,0.7897861081655163,1_AD,2023
1_AD_2023,2023-05-19,0.8059230380771644,0.7909045390062819,1_AD,2023
1_AD_2023,2023-05-20,,0.7919293033734787,1_AD,2023
1_AD_2023,2023-05-21,,0.792834961658533,1_AD,2023
1_AD_2023,2023-05-22,,0.7935748254551364,1_AD,2023
1_AD_2023,2023-05-23,0.7727395392849941,0.7941104105671184,1_AD,2023
1_AD_2023,2023-05-24,,0.7944114370084469,1_AD,2023
1_AD_2023,2023-05-25,,0.7944558290032273,1_AD,2023
1_AD_2023,2023-05-26,,0.7942297149857044,1_AD,2023
1_AD_2023,2023-05-27,,0.7937274276002603,1_AD,2023
1_AD_2023,2023-05-28,,0.792951503701416,1_AD,2023
1_AD_2023,2023-05-29,,0.7919126843538301,1_AD,2023
1_AD_2023,2023-05-30,,0.7906299148322997,1_AD,2023
1_AD_2023,2023-05-31,,0.7888643073484871,1_AD,2023
1_AD_2023,2023-06-01,,0.7865907525808129,1_AD,2023
1_AD_2023,2023-06-02,,0.7837895331845036,1_AD,2023
1_AD_2023,2023-06-03,,0.7804463237915903,1_AD,2023
1_AD_2023,2023-06-04,,0.7765521910109104,1_AD,2023
1_AD_2023,2023-06-05,,0.7716010150889541,1_AD,2023
1_AD_2023,2023-06-06,,0.7657269040458408,1_AD,2023
1_AD_2023,2023-06-07,,0.7590625754447698,1_AD,2023
1_AD_2023,2023-06-08,0.8025491336965068,0.7517393563920186,1_AD,2023
1_AD_2023,2023-06-09,,0.7438786311858305,1_AD,2023
1_AD_2023,2023-06-10,,0.7356150768025643,1_AD,2023
1_AD_2023,2023-06-11,,0.7270788660358334,1_AD,2023
1_AD_2023,2023-06-12,,0.7183987068225306,1_AD,2023
1_AD_2023,2023-06-13,,0.7098077287474459,1_AD,2023
1_AD_2023,2023-06-14,,0.7012615084970236,1_AD,2023
1_AD_2023,2023-06-15,,0.6928329134848966,1_AD,2023
