Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2
77_2013,2013-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77_2013,2013-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77_2013,2013-05-21,0.48463405238302004,9.346361077996246,0.15972352415524552,0.1664466442997004,0.24475551224467607,0.3295465705391362,31.26214452711673,0.277452,0.4492043896341353,0.41510116084309884,0.0305387030494177,0.08994905695920273,0.33724335233138647,0.4125286603846154,0.1287245403846154,-0.18369351384615384,138.7004569113971,154.18736275008936,109.45741742675146,174.20121246641915,107.7836333115255,100.45720523432493,604.7307692307693,977.9230769230769,1069.076923076923,3094.576923076923,2558.1153846153848,1861.9615384615386
77_2013,2013-06-06,0.3424046691113479,11.513470673929593,0.13892298685711021,0.1390617419849668,0.1151337336154443,0.23852353252462627,22.589459358089037,0.17049415384615385,0.4557939962567677,0.3653968641541188,0.10185245610541921,-0.022157028103985565,0.23574635685086406,0.46126741807692323,0.08386048923076926,-0.23303878192307692,139.30009313344175,144.3351236457732,119.4499612760439,152.31013941022923,118.9141488598156,114.89890738000192,754.0,1155.2307692307693,1444.3076923076924,2941.4615384615386,3056.269230769231,2331.653846153846
77_2013,2013-06-22,0.2510273027782287,14.35272012915894,0.13832299364913553,0.11303551487682384,0.06307340378969074,0.1832177418408684,17.31483931153488,0.1011913846153846,0.4465037469718318,0.3206791313105363,0.15462211823099373,-0.07548090643752445,0.17430299114840805,0.5136812534615385,0.0592613476923077,-0.2631566511538462,136.8214580343737,135.47172106063587,122.61588412957768,137.59594387506903,122.98118907259322,122.1989695193695,881.5,1338.1153846153845,1796.576923076923,2995.9615384615386,3463.0384615384614,2631.653846153846
77_2013,2013-07-08,0.2243832491814037,15.959569379268496,0.145545546516758,0.11197512192588488,0.045329654616887385,0.16505290736943554,15.599610794079362,0.07471615384615383,0.45460757884322506,0.3173413370703443,0.17525613241966334,-0.1007060007957179,0.15406303594089737,0.5298124242307694,0.0509536126923077,-0.2772953026923077,136.03951979878772,132.9675916783435,123.7585512190113,133.88360859577804,124.4538730065298,125.05344459701776,901.0384615384615,1379.3076923076924,1906.1923076923076,2995.846153846154,3646.1923076923076,2729.3076923076924
77_2013,2013-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77_2013,2013-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77_2013,2013-08-25,0.23920871502313562,12.974852703810882,0.12008305274706968,0.14578940953476463,-0.03533334302258002,0.1602686685358003,15.243354956766744,0.08475,0.48325322236665236,0.3791262201824297,0.13967457613829695,-0.1546725433336808,0.15334103483989167,0.4738759184615385,0.038125328461538474,-0.2864157465384616,141.91986388564612,143.63354203438934,133.61594334080294,147.78398195580064,134.5135015814822,132.89816958774756,814.6923076923077,1224.3076923076924,1584.7307692307693,2563.730769230769,3474.0,2738.730769230769
77_2013,2013-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
