Pasture,Date,Sample#,DW_kg_ha,%moist,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,CPER_2022,OLS_2022,OLS,LASSO,PLS,PCR,SVR,RF,GBR,kfold
P11,2020-05-11,3.0,703.2,77.2,0.7612407014962892,6.460798716632217,0.3134010255479772,0.2962637284073373,0.5009649431670705,0.5299850554524819,50.097148595528985,0.5159683331092582,0.5113400263628631,0.6480360129803007,-0.0694231991116203,0.2235602331462527,0.5932294428772198,0.3939799184760856,0.2303342469086771,-0.1493504540923099,134.46633535589123,177.64629710496996,88.80359801047175,221.81660432331543,86.42369294856788,78.8017936653314,404.51899252970026,783.5830460090863,519.4638954221315,3816.4482399894446,2431.7964545991103,1275.180726142299,532.7880347780284,1294.429641965698,705.4559306012605,904.3997762622063,290.78583570925076,920.9212408824787,578.0446579575655,1022.7521384759424,1074.1161527152112,P11
P11,2020-06-18,3.0,2154.4,51.0,0.6848921840782325,9.194049208428112,0.3296534244482559,0.2632555423485988,0.490360655038764,0.4735468415513352,44.827424949668526,0.4308923601833411,0.5444406096115036,0.5687763243158976,-0.0106542194145865,0.1951250659944466,0.4795671288814914,0.382074015858307,0.2109562833330771,-0.1444982429624878,132.7602739661791,158.06719861907663,91.44494438979704,191.91148268789567,89.32268200160512,82.43876672945889,302.41605485922094,709.1051941778306,661.6638627484411,3602.577143862027,2403.178258706117,1214.134063147936,832.6165958647124,3824.860003313378,4453.1072098940285,5014.406652235755,5019.168310972889,4749.155183118857,5020.658362992872,3693.7206124399113,3994.8457575982366,P11
P11,2020-08-12,3.0,4060.0,67.8,0.7585828863901741,7.4669073302848705,0.3736228786032024,0.2730210889711286,0.6036209408273397,0.5587334091126006,52.74209642471804,0.5697932701286379,0.4624016759874877,0.5950998510292553,-0.0615963098450589,0.2978449507361822,0.5945849674690988,0.4142364962904233,0.2653656997247521,-0.1159689991258484,122.98993752391668,163.1474087512192,80.54061804817175,218.5929723280505,78.89477785094624,72.04728605222914,312.47226590550326,845.4387205574112,585.2745417519527,4260.327723939358,2294.229035699635,1046.9670214591238,425.27949109541424,2883.547978476012,3812.5456757690195,3490.358459408554,2706.2163258447035,4305.033428551065,4378.686232440734,4073.7035059840046,3466.1614237829062,P11
P11,2020-10-15,3.0,2824.0,47.6,0.5418290166420985,13.257943109134995,0.2876398427065503,0.2034501906709624,0.4134559781384344,0.3999325177700105,37.82598787966925,0.3528296022323322,0.4938267732113869,0.4342235991498712,0.0440918148890451,0.1432723158737205,0.3942466928912899,0.4690506307980488,0.1863281067265108,-0.1775654008281222,130.38599991973376,142.38253359723876,92.28791774637102,160.47171131504234,90.4961350083582,84.62239901614298,542.341910831594,1006.067367150689,1197.240371254854,3854.550030092228,2920.119959695161,1627.8107493288635,515.4705371153998,6053.345610732317,2618.8981001530965,2602.119148971097,2485.1031895855053,1819.9082584706175,3878.2477350674753,2355.0762215018494,3229.7060716934366,P11
P11,2021-05-26,3.0,652.8,77.2,0.5993783197568177,11.05426742630284,0.2843110741315272,0.2815843242054859,0.3301747345480335,0.4029654177708496,38.1878748413554,0.3654373047931039,0.5259439056453564,0.5737778074654258,-0.0250463892552101,0.0527230482747344,0.4269803135178565,0.407129944821285,0.1603337037359457,-0.2014816260219897,133.75982033036047,164.14953373285286,102.83390564162394,201.1780993400096,101.41613587244258,93.41667177750676,488.4753197778045,907.3058489878072,809.2794388588565,3240.8432222823835,2915.683952390772,1631.6649835357712,757.5356897536207,1343.2535319051199,886.6948535001211,1004.5535567137445,332.9582889177587,1253.4485951770641,964.7747416291315,1526.2737630004247,1130.568652327147,P11
P11,2021-07-20,3.0,1439.2,71.4,0.7735792047118851,7.062460205290664,0.3825484139937093,0.3130787818012684,0.5819687748876055,0.57217386871428,53.96116167087203,0.5879247889194862,0.5034246153369698,0.6436864553293997,-0.0681510224125414,0.2570271071983048,0.6204565080316049,0.4254412602392947,0.2699991400951345,-0.1391897000842757,124.55600485269748,167.7413774647639,80.43606004742193,223.08508128849792,78.67390478878768,71.84160599159308,327.4729673347806,841.0648510773495,548.2899243328162,4313.928121189337,2548.25252695528,1138.5997919731406,401.6255183549432,2234.0417074332504,3503.1551886212906,3329.1067416859964,2084.7088134675637,3987.7796373348006,3394.6878691334873,3676.5331989808965,2545.8133727806694,P11
P11,2021-08-30,2.0,3205.333333333333,67.33333333333333,0.6490081180855315,10.904161005669286,0.3452472045246691,0.2724911705226545,0.4847217579011496,0.4808765513166116,45.36341459688932,0.4561231565093921,0.5310651416452961,0.548014616498337,0.0018610367874769,0.1720459995945212,0.4951869169390565,0.4521271577180256,0.2264158436714897,-0.1727729663356585,128.9179616745325,153.1118898122602,86.64657377363329,187.0345973730077,84.78180296099352,78.83169958495003,416.8977433483922,889.6258709937536,895.5866624154854,4069.5661066598063,2898.3652491338667,1431.5399612411927,454.73395333415596,4710.667631529361,2928.8273767724068,4064.833639260959,3154.5901163637936,3452.0383653880567,4388.417809088648,3587.058524563526,3967.7582813104245,P11
P11,2022-07-06,3.0,2988.0,57.4,0.6444672630969164,10.792730620826475,0.3330231756974352,0.2738234424994729,0.4631457974514771,0.4680365401688838,44.15740981024415,0.4518222589116587,0.5017720688566697,0.5456015695669241,-0.0255136708186666,0.1553715415859426,0.477258004548127,0.4346727002544167,0.2121989094883554,-0.1703912949071894,124.99909212793636,153.726785563094,89.52936890476167,199.70687806719076,88.21034285607035,81.10024612526172,395.6815075030154,933.167889891145,830.8394452313252,3857.6382059585967,2814.870917685897,1410.7103068730987,547.3377764781336,2808.559895237728,3640.342156583126,3340.6988923963368,1871.1328251299483,3995.495194399491,3995.7588743739807,3344.113060307552,3546.782791023717,P11
P11,2022-08-02,3.0,1444.8,45.6,0.5291965696229994,13.36510175934251,0.2824238203847246,0.2495933893386584,0.3108645019651684,0.3630401072403162,34.405082690889145,0.3142395362739809,0.5282618877793166,0.505884593959974,0.024387174272726,0.0372486618007256,0.3574652700991116,0.4135851606382337,0.1504565905239879,-0.1997043154066493,133.17115273396354,150.52649422346175,104.18060727037194,178.37531972778123,102.80295212849596,95.7820658092801,456.3264784674141,902.9756736982464,960.9773190309584,3206.0314367107085,2931.309699301288,1650.0180321218963,920.0242701859312,2425.474717784884,2757.459563113809,2586.720572213512,1731.7543812520921,2915.4653807698387,3008.0696442450394,1973.2468328863154,2102.990514499807,P11
P11,2022-09-07,3.0,2069.6,49.0,0.4408002032684639,15.040821870604066,0.2413019184075518,0.2427622765252408,0.1677796175202522,0.2780839145856973,26.5647883503146,0.2029259442578736,0.5693049929596432,0.5004419219809486,0.0690979766681159,-0.0758874784027727,0.2672429713437892,0.3885840848090506,0.0992831046821035,-0.2287818317561343,142.52896675653145,151.45990377461334,118.14501571473744,162.80852882199483,116.54196545702668,109.87948504329547,496.0179004237207,834.0338400171028,1012.5398396243266,2615.1292854340527,3037.749094374658,1858.652075970552,1463.2168056330495,1845.810455807554,2145.8323478384973,1596.0773256483503,1860.8479921790001,2191.0816546716746,2115.971068701253,1447.834215745629,1493.379122024389,P11
