site,zone,season,sampling_start,sampling_end,sampling_totalDays,quadrats,A_FORB,A_GRASS,P_FORB,P_GRASS,P_LF-SU,P_S-SHR,P_SHRUB,P_ST-SU,UNK_FORB,UNK_GRASS,YUEL,pasture,UnitID,herb_kg_ha,Date,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,Year,CPER_2022,OLS_2022,OLS,LASSO,PLS,PCR,SVR,RF,GBR,kfold
CDRRC Pasture 3,E,FALL,2013-10-22,2013-10-22,1,32,25.057980282444788,8.058053590881611,7.062656963185388,25.90595075464277,0.0,0.8125181321848688,47.649888108125765,0.0,0.0054666642597168,0.0,0.0,CP3N,CP3NE,660.9010825541428,2013-10-22,0.29349298817066,10.992582411481177,0.1125027889844159,0.0933674323960151,0.1065952423466171,0.2254689355761748,21.266187485121968,0.1276988257138567,0.4665498593041939,0.2993147650656891,0.1792857949095138,-0.0057138323714264,0.2052950171168516,0.5347005020792799,0.0910172847127338,-0.2616798941517707,136.1011408008126,130.93171656837814,113.4593485951747,130.63794091582238,112.80263512188304,112.08857012162686,759.3629759075468,1247.4990910828506,1851.62741350863,3392.897163593897,3430.151494084213,2739.368090096853,2013,248.952239103152,279.38820141220333,169.75596320006125,213.5798263888009,165.5623611833696,181.27176460975508,206.63472174744047,462.0197649041261,327.38071239592267,2013.0
CDRRC Pasture 3,E,SPRING,2013-04-25,2013-04-25,1,32,0.0,0.0,0.015601829397465,2.889336873358883,0.0,0.0,16.835536735587187,0.0,0.0,0.0,0.0,CP3N,CP3NE,29.049387027563483,2013-04-25,0.1380708908912004,3.442385749917216,0.0232773937132734,0.0318944692099291,-0.1181544971447717,0.1096095768054441,10.354375811732046,-0.019436953125,0.457537245337506,0.2737840829960563,0.2629095966212254,-0.1410502860480474,0.0956515547136728,0.6297115552539068,0.0153010520898437,-0.3755702886718752,139.2886777656975,130.93674108409138,134.06473209174212,129.13961033281845,136.15526801305373,146.374844832583,993.5058593750002,1581.4335937500011,2423.1250000000005,3199.978515625001,4248.328125000003,4054.548828125002,2013,89.2066357802758,9.605540461658649,1.597889924575412,24.728245459788965,28.170565654747964,24.089345493517804,19.820145709466857,16.295866636403595,4.599973495644825,2013.0
CDRRC Pasture 3,G,FALL,2013-10-23,2013-10-23,1,32,47.745998995925625,5.285759749169014,8.521476304885223,20.9343736684242,0.0,0.0,3.149081468421954,0.0,0.0062121184769509,0.0,48.61107500000001,CP3N,CP3NG,824.9382083688101,2013-10-23,0.3096992707695248,13.053043338813312,0.1419919592419116,0.1034808709757482,0.1501872372094656,0.2345328127249397,22.120612862783943,0.1439817229642924,0.4560197494599444,0.3025566277778144,0.1618991043557774,0.00906071571056,0.2176529966520956,0.5159057587934642,0.0958410576710799,-0.2398135246735931,135.5096508386578,131.74461362277998,111.7879133471427,132.5140288747914,110.94151505048303,109.40077226796107,763.5543545348044,1227.710214632376,1764.1857059700433,3345.240564393436,3288.044170213496,2476.585910934517,2013,368.1957897303511,438.4917681535926,284.8640081442357,368.6141093371888,329.80345347835106,328.9908829250588,520.096880167932,648.2732114731152,569.3416356163293,2013.0
CDRRC Pasture 3,G,SPRING,2013-04-25,2013-04-25,1,32,0.0036548019546197,0.0,0.0007479178064179,2.947650312860267,0.0,0.0,2.0775048661931703,0.0,0.0,0.0,24.243221875000003,CP3N,CP3NG,29.520530326213045,2013-04-25,0.1315877764695728,3.619101646489844,0.0241491339982915,0.0157254002758534,-0.1067305537677874,0.1074499299282382,10.173135902033016,-0.0167419772727272,0.4276966965828135,0.2576898533993375,0.2462049156053927,-0.1305449811167415,0.096133181037685,0.6683135143181824,0.0119413099242423,-0.3816661387500001,137.300020803523,130.07049762385265,133.01554778792624,129.00801105814887,135.59681501507765,145.48034817807198,1135.212121212122,1764.2196969696972,2597.8390151515155,3384.6628787878794,4398.956439393942,4191.200757575759,2013,63.86132805123445,7.660245872893954,3.605920366744368,7.755178279807001,8.897288248602598,6.007875748498902,3.7927751134785264,14.419790801724078,7.05199947512304,2013.0
CDRRC Pasture 3,S,FALL,2013-10-25,2013-10-25,1,32,8.675119782395418,6.8697200722725125,5.0372753741042136,10.319425752493116,0.0,1.1763147956061653,43.81822702321562,0.0,0.6508710563224375,0.0,3.1585468750000003,CP3N,CP3NS,315.52412037587703,2013-10-25,0.2340397826208931,8.839869780151034,0.0767869253733681,0.0670891717607262,0.0302550344470479,0.179600758985329,16.941447912993617,0.0723298384138915,0.4529963267378308,0.2776825010356368,0.2075946350060605,-0.0466100721249034,0.1601602603243803,0.5487737267206021,0.0629726956311724,-0.2834599285911306,136.22035829828872,130.01883036537032,120.51526726720974,129.1278408305513,120.7708964537623,122.51075218815863,814.4712818535454,1334.0831808069092,2002.9452482977003,3229.8363659536367,3541.9664317674933,3037.093667416549,2013,219.96452173433096,200.7268858003509,158.44364352419888,167.88318326305432,133.04507328838156,143.51824818880516,184.0243969016106,202.2319734290028,93.59800527666468,2013.0
CDRRC Pasture 3,S,SPRING,2013-04-24,2013-04-24,1,32,0.0,0.0,0.0,0.2966974121258086,0.0,0.0,42.52768670888757,0.0,0.0,0.0,0.0,CP3N,CP3NS,2.966974121258086,2013-04-24,0.1405776951342855,3.127981238878119,0.0212195856226652,0.0275026336886163,-0.1102763840495541,0.1116003578644591,10.541644014271506,-0.017208625,0.4518690538646865,0.2668471581301384,0.2619318872842786,-0.1311948548408957,0.0975222179138169,0.6258963831041671,0.0171596698125,-0.3673746764166666,139.07154846280744,130.59616562209752,133.2991760608366,128.74549663119944,135.27730911332833,145.20452166493754,992.3000000000004,1576.0145833333345,2416.241666666667,3206.983333333334,4173.739583333335,3999.968750000001,2013,91.96620032865825,10.118558954223426,2.726808200119597,35.686121232002854,44.23475706582752,39.372027076832616,33.848007262851404,16.46110359695229,7.19520400249678,2013.0
JER Pasture 12A,E,FALL,2013-10-17,2013-10-17,1,32,17.18109221723735,7.961728860681317,1.8450934518081523,64.98077022251216,0.0,1.473902708410661,51.30458410727972,0.0,0.0,0.0,0.0,JP12A,JP12AE,919.6868475223898,2013-10-17,0.2625979519797125,11.067327743545736,0.1049024406334515,0.0932354145005524,0.0610639233056131,0.1974450904696475,18.62437717707557,0.1096346960451367,0.4418825479040497,0.3035017671157017,0.1625523612518939,-0.0439968106436363,0.1827122921133358,0.5334706434926063,0.068791615450698,-0.2710231499604642,134.54889248151812,133.1017732105105,119.33273731183633,135.7939278654914,119.72505477729526,118.88670715180056,833.1796022287963,1350.5899192889665,1868.277144934312,3190.457028585774,3484.6687751348813,2825.1166019341044,2013,303.74574494469385,446.9307133594021,385.7168356572773,446.4809995291014,330.95849875098617,342.76913035081446,430.5226603121297,575.0884550536857,771.3203890968601,2013.0
JER Pasture 12A,E,SPRING,2013-04-24,2013-04-24,1,32,0.0,0.0,0.0,9.653182834057503,0.0,0.0355381819882954,25.96779144328009,0.0,0.0,0.0,0.0,JP12A,JP12AE,96.53182834057505,2013-04-24,0.1355346002210932,5.29489312106834,0.0361663721615582,0.0447772085522724,-0.114009908924845,0.1047634259565046,9.885494347515952,-0.0042396138226257,0.4350448071742382,0.2794251888888199,0.2291207556898758,-0.1495748902612586,0.094230391925128,0.6036440093130446,0.0096291360794741,-0.354875533185621,137.33700616451978,132.47429608888532,135.99054131734457,132.47423907363844,139.12618170362512,147.67158928644008,1026.3352601687209,1608.211792789746,2301.410160739053,3022.9332966936777,4083.8544700192033,3801.5815075028486,2013,140.15008837972627,70.92534116217213,91.20961798720664,82.75445105364994,94.94253732116869,90.20461588267152,74.20546726529948,53.02775814453419,55.67987294978437,2013.0
JER Pasture 12A,G,FALL,2013-10-18,2013-10-18,1,32,10.042117885338024,5.274659320609063,7.218137008875611,80.20450310054075,0.0,1.8863029325118763,54.39255266543017,0.0,0.0,0.0,13.9147125,JP12A,JP12AG,1027.3941731536345,2013-10-18,0.2624177542375097,11.984114190678437,0.1141385633091839,0.0962930629206523,0.0711806136763048,0.1927403868835596,18.182342350383315,0.1028995162727938,0.4438500637270197,0.302551496919286,0.1655530700997628,-0.0432143794431171,0.1777283832569288,0.5077732234540521,0.0666452308699048,-0.2551828351488671,135.1374225219521,133.34854314153355,120.09867155288408,135.57454096461785,120.39206748854536,119.70122178632715,794.5792110501718,1281.9005998691148,1786.089340415872,3046.873783458149,3322.571852159864,2642.5010636283027,2013,441.31933727635385,592.124043646574,531.8208285582967,560.7688604262916,436.8203348883706,441.82672872535073,632.9794293356689,672.2577371951726,839.8576451115475,2013.0
JER Pasture 12A,G,SPRING,2013-04-24,2013-04-24,1,32,0.0,0.0,0.0,22.637414020160328,0.0,0.0,46.23776919288749,0.0,0.0,0.0,9.24715,JP12A,JP12AG,226.37414020160327,2013-04-24,0.1325784689618043,5.495244939894644,0.037265851294237,0.0398608007320374,-0.1082357735674784,0.1030592834932742,9.726645391578142,-0.0064391247082698,0.4277736820736488,0.2722188366403028,0.2293090923872797,-0.1449189932086873,0.0925763529208169,0.6084098386546758,0.0092858292869824,-0.3517809714339857,136.4092199414264,131.64198547305293,135.34923635519547,131.8034163488285,138.69235783523447,147.53051407778923,1039.3478608079051,1637.101973686606,2337.5455048285808,3051.6431864249603,4082.1215372943047,3788.92470464696,2013,135.87651452084148,62.93925942068216,90.5373287981608,80.84107231017931,104.36433637395542,99.54502089978315,70.98362517764998,51.425905916569015,55.95531160341311,2013.0
JER Pasture 12A,S,FALL,2013-10-17,2013-10-17,1,32,3.9700205464213343,4.671018637094294,0.8991795413097851,12.900089548179862,0.0,0.3498922190719096,133.09996706279492,0.0,0.0,0.0,6.4661625,JP12A,JP12AS,224.4030827300528,2013-10-17,0.2042080787280181,9.022015592933828,0.0736763197207222,0.0452128000625891,0.01596103693376,0.1651138441276469,15.616993361402084,0.0770581397827896,0.3937087479849788,0.2589793869946736,0.1724084132696586,-0.0577727993964639,0.1529957947024708,0.6280437257937095,0.0496955396740395,-0.311918003813047,130.4426402047653,128.9067538611784,120.87536496148904,131.99797722292766,122.96254183786664,124.072899273583,1067.8914610049585,1727.19007588078,2335.9546886354783,3530.57565650022,3964.8499694101056,3422.4811726436005,2013,105.22953501949335,112.8598584740413,93.75559512615456,109.09204257299707,79.298591388368,79.53841749332537,104.7520404044424,101.12385805841588,72.97991287978108,2013.0
JER Pasture 12A,S,SPRING,2013-04-24,2013-04-24,1,32,0.0,0.0,0.0,2.0043748516003475,0.0,0.2227970640035448,34.98852552665428,0.0,0.0,0.0,2.74921875,JP12A,JP12AS,20.043748516003475,2013-04-24,0.1321704400090397,5.575870464396921,0.0377677404377458,0.0232127193794996,-0.0982429626120107,0.1084597046527422,10.272777143512128,-0.0008360564654921,0.4101809402146999,0.2629635558677126,0.2170462415548593,-0.1355133485565392,0.0989640061848307,0.6806871164855737,0.0096624122434603,-0.3828444787561695,134.36819643005242,130.19691588430243,132.65626086459477,131.14751471499005,136.32317733798942,144.4019262828914,1199.323604082707,1881.868319276035,2624.426796611904,3423.0591993820635,4495.793997381483,4168.34916105527,2013,64.53238251678526,33.13267350380695,28.335149693474563,7.526007909769028,0.6921070056982381,0.6158647021217855,0.0,15.057224640364506,2.939783415523048,2013.0
JER Pasture 9,E,FALL,2013-10-10,2013-10-10,1,32,21.120933306959785,12.253292996088952,9.046731337985896,77.40016265889867,0.0,2.253940849949972,56.62576928958018,0.0,0.0311751061549708,0.0,65.03877500000002,JP9,JP9E,1198.5229540608827,2013-10-10,0.3225503522612435,10.64260630578882,0.1172903789434296,0.1355103903068439,0.0713542856665129,0.2175554280603711,20.621800109502267,0.1252416746446955,0.5038646341097213,0.3642984045783199,0.1523358969397458,-0.046097717937649,0.2006624134244239,0.435755502973185,0.0748375124889093,-0.240218859576544,142.48545022698775,140.86778223681918,122.44250597420049,142.62925258193945,121.42995827055348,119.0688528260436,613.2607697576011,988.2518718132096,1403.2709978084304,2722.6089026691952,2996.27828314843,2375.5828063530485,2013,856.9809375113412,1130.0361821097804,885.6563092857705,888.0302930061581,614.1774043166196,637.556717065818,664.3378984448366,925.5989005095956,921.644282899074,2013.0
JER Pasture 9,E,SPRING,2013-04-23,2013-04-23,1,31,0.0,0.0,0.0,16.594092911785303,0.0,1.375671560837245,37.57541993321317,0.0,0.0,0.0,5.524451612903227,JP9,JP9E,165.94092911785305,2013-04-23,0.1321592528494892,4.627640367342492,0.0311412020146417,0.0689463628050684,-0.1507380835065055,0.0949373907538963,8.960456573074902,-0.0132522780382609,0.471044761311339,0.3058655354408659,0.2479714628657324,-0.1810338624255493,0.0844733513223526,0.532273936235862,0.0050399273982776,-0.3373737790565968,142.6313205386953,136.05018803282593,141.60680558063171,134.43648674620053,144.0497159418519,153.9256630406251,879.4971877958244,1349.8938421275832,1995.8664310096533,2603.640360366194,3753.0880916527767,3526.013721784593,2013,266.49830377217216,71.52187750057927,66.87578866452964,125.39652523579171,142.89210037608996,134.60156743721592,129.55092476926728,112.92137886078514,72.91098191705187,2013.0
JER Pasture 9,G,FALL,2013-10-08,2013-10-08,1,32,20.54702440060196,13.622297504213568,15.875997332875157,135.47872692309983,0.0,1.1533940709969788,21.213383839784044,0.0,7.045221729936925e-05,0.0,0.976278125,JP9,JP9G,1855.241166130078,2013-10-08,0.375119168564679,10.93856210161664,0.1370787867065013,0.1492475592565741,0.1280792514323059,0.2451078870656374,23.305724832853752,0.1621643718967987,0.4960138734533952,0.3833833726468821,0.1124467090509957,-0.0090015245759896,0.2293246241668741,0.400194650700547,0.0871565024102309,-0.2096275965859481,141.05843668925533,144.46377116876104,119.69402586232732,150.4860457092049,118.54900495411336,113.84288285005763,544.9281078565634,911.4452469283724,1208.9213061861228,2657.328508554233,2705.402421171786,2054.2362927715667,2013,1274.8147138821594,1620.6479508160885,1427.7917700432577,1437.436002130665,996.0477364955464,1029.197404756371,1228.253244100932,1097.836698221291,913.2567188219032,2013.0
JER Pasture 9,G,SPRING,2013-04-23,2013-04-23,1,32,0.0,0.0,0.0,33.49517124673322,0.0,0.0,28.537658846456235,0.0,0.0,0.0,0.5425125000000001,JP9,JP9G,334.9517124673322,2013-04-23,0.1320151787135778,4.881788818068976,0.032923988431325,0.0715234508055883,-0.1512275199596143,0.0941463720060318,8.889105729486884,-0.0050065755985185,0.4576780246676327,0.3078033498962479,0.2277821481544226,-0.1832471529215977,0.0847937007009594,0.5282256355834886,0.0029478243874112,-0.3327475421345925,141.14192787712355,136.9643075078129,142.41842510651614,136.80578065534775,145.5913359458363,154.230625407586,897.4421982442612,1383.5204046162405,1968.4096336522905,2567.271745673855,3716.843324179644,3479.2839131547707,2013,288.28290919278976,130.53465827923534,168.94462886540003,192.6862939292436,268.8034984303493,263.18845651838086,236.95160195709792,197.0442382504949,167.73315882859447,2013.0
JER Pasture 9,S,FALL,2013-10-09,2013-10-09,1,32,26.915057152515224,8.850146049205119,5.742220298160934,50.83076016832684,0.0,0.3752128544583077,111.29635980911203,0.0,0.0004931655210955,0.0,166.012859375,JP9,JP9S,923.386768337292,2013-10-09,0.3027631823698355,10.505769757103632,0.1095890498700188,0.1153588356959745,0.0762718542118575,0.21532154401177,20.33378902164521,0.1225282089699397,0.479687281357528,0.3334863279849216,0.1606359385407708,-0.0334129744886124,0.1973939214127502,0.4757935468452864,0.0770081768133031,-0.2506866502719176,138.83806845019012,136.70663336320246,119.76279915253014,138.36767903975257,119.18425356231182,117.46081512417872,680.8311355355992,1114.7514745062954,1590.7042066879144,2957.2100066203625,3172.481619057377,2552.346843224252,2013,552.0230641150551,769.0393081777637,614.8349917113309,614.7765601916743,409.8490763556106,434.9217208372471,491.2957068405861,768.8660303606745,783.3106685201536,2013.0
JER Pasture 9,S,SPRING,2013-04-23,2013-04-23,1,31,0.0,0.0,0.0,10.207934494040424,0.0,0.1552039709662532,26.82966428735434,0.0,0.0,0.0,4.414516129032258,JP9,JP9S,102.07934494040424,2013-04-23,0.1337042683209609,5.107695488888407,0.0345921891317847,0.0526552874762319,-0.1250807681336538,0.1006949709612802,9.497065741545311,-0.0157803117009278,0.4588248924257063,0.2865847676782788,0.2529101114511082,-0.1589905815229793,0.0892243948094271,0.5730680753065167,0.0097232796608666,-0.346861926055401,140.41156223128803,133.012284286826,137.49166632151562,131.32130696734237,139.81198026281714,149.91830499365577,944.168197657869,1462.9176418717286,2187.2014406223084,2862.256724678994,3941.273063132058,3677.032863365039,2013,181.1364064457873,44.208611514747446,42.8486975265656,73.7583737531864,74.81861848155229,70.61186897457993,64.90250514858079,43.74191244698989,54.92481721126804,2013.0
CDRRC Pasture 3,E,FALL,2014-10-28,2014-10-28,1,32,7.073028107315619,10.994704222709712,12.425573792192834,44.22553929333737,0.0,1.787208786019637,45.58176157597037,0.0,0.0,0.0,0.0,CP3N,CP3NE,747.1884541555553,2014-10-28,0.3366423472016531,12.056420045761794,0.1387809006334737,0.1373141021284987,0.1184606612382969,0.2415696981102301,22.794998244492184,0.1524666880278185,0.4948953060959639,0.3551001085179704,0.1449469284457059,-0.0205813607804357,0.2248292313407983,0.4758271791916137,0.0921932848100836,-0.2453538751466553,139.1680419012018,137.4972026042566,115.62750094758648,138.98848369355483,114.54451884005988,111.81399222401214,670.2716178730304,1084.8776694470298,1532.0754948386077,3075.336250317113,3203.7993673307246,2420.786792959558,2014,555.1778695606748,1052.4379669295,1069.5994610062048,1388.927006792159,1579.088448356382,1909.0027696295324,1825.866247023432,1079.152549713246,1150.1455764991529,2014.0
CDRRC Pasture 3,E,SPRING,2014-04-28,2014-04-28,1,32,0.7071833431302619,0.0,1.6792228367000126,9.319185012470744,0.0,0.0644789722649551,51.334146247181394,0.0,0.0004303125,0.0,0.0,CP3N,CP3NE,117.06021504801018,2014-04-28,0.1719773938494444,9.496842464810928,0.0721518926431081,0.0486479750178667,-0.0301233250886241,0.1386948347414353,13.113776849928112,0.0216923723696706,0.4405944842216716,0.2693252844569623,0.2300427919237978,-0.1020557270297133,0.124252422309845,0.6314032018269808,0.0370427677733112,-0.3407596220486991,135.2601399734944,128.046981401492,125.21735920969203,126.9835794800345,126.6585164162086,132.39632679698266,1030.879616150241,1624.5212278004178,2408.54497711986,3408.545513671968,4183.071301703583,3620.623911240175,2014,96.21277922101493,24.07103616873116,26.14556460751345,21.963824793575117,42.16871372911932,48.81228499629728,48.29644387741321,16.917158058269155,20.89581884260438,2014.0
CDRRC Pasture 3,G,FALL,2014-10-28,2014-10-28,1,31,12.994397091382224,6.759459740080897,9.257968114428882,56.22908032099246,0.0,4.30864394533976,1.372156811809627,0.0511693225806451,0.0020313112366944,0.0,43.22063548387097,CP3N,CP3NG,852.4293657812115,2014-10-28,0.3638077889640718,11.628544795053948,0.142510401775514,0.1395075272822264,0.1480186604514491,0.2580848760103758,24.374106734636133,0.1756855711408517,0.4836265280633108,0.3591885660289262,0.1232284976693122,0.0056850488574297,0.2422093933000742,0.461536682133636,0.0998401038102168,-0.2293066534237583,137.85174870952096,139.11864854591042,113.82114967977448,143.19254479451817,112.7366222081379,108.92837370680397,641.7200490125479,1062.6817770246648,1444.693079922225,3078.577346539388,3044.6568856565923,2283.0647388615776,2014,651.8398801207668,1409.5192166758184,1573.8969920124182,1824.774102254248,1888.511231624471,2149.4877610374992,2092.9529284566947,1227.587589353939,1243.9627792227498,2014.0
