Pasture,Date_mean,Treatment,Year,ID,Season,Low,Biomass_kg_ha,long,lat,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,CPER_2022,OLS_2022,OLS,LASSO,PLS,PCR,SVR,RF,GBR,kfold
A,2017-04-20,IMP,2017,61.333333333333336,4.0,,1073.3333333333333,-81.20974533333333,27.187954666666666,0.71293031474413,7.935527464994855,0.2999892830846976,0.2792375636868389,0.4292038468482416,0.4455076437755216,42.59309509208877,0.3920912044285135,0.5355557970618526,0.6285770247979748,-0.05794689770205693,0.1457112917316523,0.4663960572753029,0.34423492655543747,0.17415813691295565,-0.154191109305686,136.80515064654733,171.82896865938892,99.93934559518102,210.727575363561,97.59468816197555,88.41630669618603,349.3413793608532,703.6796159987372,535.6070774483911,3076.3840803279713,2325.716314107264,1258.4177628866228,952.4685078053527,1589.1022255475484,1385.8258931869545,1332.0501987850105,1311.8740818455897,1297.119086080315,1188.7429479037976,1535.9742777777765,1070.9405499905306,kfold8
A,2017-07-26,IMP,2017,61.333333333333336,7.0,,3342.6666666666665,-81.20974533333333,27.187954666666666,0.8191921385370051,5.540229878760602,0.3997033215285973,0.2891596286069899,0.6350136381126007,0.579950172809614,54.76987061973477,0.5625219548997894,0.5370252086775138,0.6842908561524631,-0.05518894107304306,0.32611591282637536,0.6234671099464851,0.3705272301923219,0.26837571549461564,-0.105065509816359,132.07946809861076,171.77466187846832,81.74244077891447,215.15206798870872,79.41374741625297,72.72940043204441,234.2850721586135,620.4905809672756,395.4346875146451,4058.026600856166,2060.477942655065,901.2738857792621,528.6672118912886,2743.373671900356,2770.917883932801,2414.4863777972173,2632.8343688510217,2380.679964355111,2436.1815592642633,2976.155000000001,2688.1871231884857,kfold8
A,2017-10-03,IMP,2017,61.333333333333336,10.0,,4529.333333333333,-81.20974533333333,27.187954666666666,0.7985160531250529,6.3630524791491,0.3971015382572145,0.2699565487146436,0.6368210919593086,0.5513789953696132,52.172074279208545,0.5163929281389406,0.5393648451697873,0.6400757551968818,-0.04183218784444637,0.3205634179235692,0.577778638373713,0.35541020129636425,0.25124187160181216,-0.0993213184315326,133.62922538250038,167.37750635630712,83.8248081883141,206.72901979801009,81.3140751297161,74.56542052913132,225.75801308644307,593.3480286846774,432.9926956177156,3845.336419093372,1978.591859057787,852.6297895467211,716.5084611736975,2735.6551388418766,3106.722758980616,3336.457067512744,3250.6920256961307,2892.051712726204,2966.2275444848915,2920.1169444444445,3169.5681375999125,kfold8
A,2017-11-28,IMP,2017,61.333333333333336,11.0,,3996.0,-81.20974533333333,27.187954666666666,0.6782265615968753,9.686079815399527,0.33840302517731263,0.277418479018866,0.4371436423205219,0.4181210851609529,40.05888223964578,0.34496577454247523,0.5946300643768353,0.6099368376746402,-0.0098437446763281,0.11577304022636481,0.4188353294851619,0.3286634609774078,0.1668008429050394,-0.15122014757029698,141.7835698219292,164.20573499323677,101.80891856322359,189.5686140979868,99.08036541477911,91.05431192827105,291.05415113398993,590.1791947535611,562.5666466670281,2928.248709451584,2322.6283035832344,1147.708448825227,1749.1823306795375,2729.328084440809,2742.459747525673,2932.9858120833883,2936.606260238829,2793.1505195513564,3061.8818585260374,3291.6859523809503,2872.8445703275142,kfold8
A,2017-12-12,IMP,2017,61.333333333333336,12.0,,5350.666666666667,-81.20974533333333,27.187954666666666,0.6374032206587398,10.874106853570192,0.3239117206978636,0.25396958635461375,0.3988909981261643,0.36868496719144056,35.721364811064156,0.2857892109571291,0.5959576617717659,0.5838822084998387,0.008552657733479366,0.08582470116085976,0.36016733174135224,0.29968188003277474,0.14043506378157258,-0.1436046487999659,144.51363086479157,162.41445654768185,108.66852718352897,182.14727971223178,105.92633240588407,97.63016075259122,273.8112269039826,545.8007692561113,564.5064593887744,2569.41825534589,2156.4532041194684,1099.968898337891,2971.062797589505,3591.0530413668816,3251.5484228298938,3296.5552493859004,3270.4490286259215,3466.1000217755836,3536.0881831962834,3521.9197222222247,3518.571638899751,kfold8
A,2018-02-20,IMP,2018,61.333333333333336,2.0,,1334.6666666666667,-81.20974533333333,27.187954666666666,0.5456669544547711,12.770031912068655,0.2771462612484987,0.2998164450533097,0.2133903132039688,0.3362233263193555,32.21983402858806,0.26233748830055553,0.6232909923202126,0.5928990252102676,0.0297927895296863,-0.0668422728812888,0.336826826241657,0.37232323021674146,0.12252411382485756,-0.23213749230095226,147.97490834834636,162.1888942958192,114.38433575667511,178.0204773137037,111.75381169874247,104.06546465015553,434.1680424641998,711.8417434722281,786.8900070262174,2689.9804057413426,3069.909316622341,1739.090372670519,1298.4563619282671,1942.3540670158047,2059.3341359315864,2102.1782245849063,2096.657173587301,2084.582266063011,2278.584955373098,2492.487857142856,2426.67104231076,kfold8
A,2018-05-07,IMP,2018,61.333333333333336,5.0,,1122.6666666666667,-81.20974533333333,27.187954666666666,0.619996996641528,10.880214936113376,0.30616836597305563,0.32186077576534095,0.32537815157269073,0.4287758619591587,40.557850847690695,0.3900418338653295,0.5873445715615878,0.6087943818084699,-0.014175647291916699,0.023885572380567304,0.4482905630294574,0.43532426859704754,0.17742457443843843,-0.2356801011610227,137.23440437581155,162.9594304831594,99.79897469646203,196.25817371135415,97.7275913157157,90.2001873328562,475.7382201079284,867.5163287031504,817.6339227801996,3472.2184959840124,3328.075787572005,1782.8206018322098,616.1303741802479,1549.1756186295954,1611.0831633505754,1670.2752906688875,1802.4024861741086,1263.8960114173747,1160.9088948456606,2215.848166666665,2150.60149824163,kfold8
A,2018-07-03,IMP,2018,61.333333333333336,7.0,,2477.3333333333335,-81.20974533333333,27.187954666666666,0.7930862460445383,6.466554721718732,0.39381011545414024,0.257116601340082,0.6340199707142129,0.5396422200086654,51.10517579441188,0.5027000760318102,0.5076155213650839,0.6338416895289667,-0.048491508800152704,0.3288265017555207,0.5602691672569864,0.34680160980278263,0.24152533872533466,-0.0962816373667144,130.9678887285827,166.77396395117788,85.55119296432828,209.14473826444126,83.27752296712386,76.17933986476366,214.2553719233615,612.30577297361,430.69581970144526,3724.924453877504,1914.7204322760908,847.1247169963195,778.884141946035,2752.221625326366,2764.6151392965676,2478.4216538958717,2804.646688228334,2507.0887998473618,2640.078460719757,2911.233277777778,2985.605628233589,kfold8
A,2018-08-24,IMP,2018,61.333333333333336,8.0,,3586.6666666666665,-81.20974533333333,27.187954666666666,0.7922959859124843,6.568423952677012,0.3965707920330323,0.29510999869514665,0.5960932831523729,0.5352575601745072,50.73438179697106,0.49415942270635177,0.5693394482814751,0.6713652838116505,-0.0452641838674264,0.2613808882419856,0.5575175036631816,0.35233330033811955,0.2372882825530153,-0.11867201864245501,133.76981073939484,168.39680210595427,86.87728832735003,208.12370909101878,84.44190683965549,77.32574991800499,221.36423700839737,591.5072654087184,425.54954900433046,3677.4246805825765,2150.6935504275293,929.2219872228624,780.6848535381864,2573.6230538290324,2847.3950986616405,2595.84182122209,2823.801242234605,2476.6256839934376,2788.7165083270484,2332.740833333335,2773.966587901907,kfold8
A,2018-12-10,IMP,2018,61.333333333333336,12.0,,2424.0,-81.20974533333333,27.187954666666666,0.5807834276025686,12.333438213458775,0.3032996532293064,0.28515436281070844,0.2964256112624264,0.352399866962164,33.85721237572623,0.2742889467601158,0.61657430130054,0.5858741782905748,0.024461252120746468,-0.007596008752662334,0.34646285651026804,0.3463493019263,0.13315982765797363,-0.19527350852661143,145.38975442925093,160.32283155343262,110.63004810220191,177.17574951818173,108.01040706945071,100.18476086656416,360.9126165537817,645.5758744089221,710.9046547129552,2686.4618525431288,2725.2896128093366,1454.3906525043392,1865.5902726444358,2708.7885060338654,2771.808544833065,2919.501105997702,2903.5747470785404,2808.2052979062287,2988.9435092097797,3460.408285714286,2816.120628620474,kfold8
A,2019-07-26,IMP,2019,61.333333333333336,7.0,,3114.6666666666665,-81.20974533333333,27.187954666666666,0.7783678377603808,6.9684772404062345,0.3884032122635525,0.2958357027975625,0.5813835081882112,0.5322147289902467,50.3831828967973,0.49810647626562493,0.5521956742927522,0.6565546857748067,-0.04875173784031477,0.24958723038993122,0.5575747378636949,0.3637926358128523,0.2365246818970841,-0.12437100380747179,132.049133408196,167.9365208733383,86.78103730674987,210.30781419364766,84.49418342851418,77.31395875025923,250.81831213189412,644.6712994904407,463.3292366151227,3725.94808701148,2231.753533514286,983.1531901975918,705.6146462094523,2467.307279707377,2570.9990665473556,2455.60152665192,2479.460436191867,2290.598859012702,2488.172243295772,2477.869166666667,2765.822893426474,kfold8
A,2019-09-13,IMP,2019,61.333333333333336,9.0,,6758.666666666667,-81.20974533333333,27.187954666666666,0.7864415186345308,6.942844501480114,0.4054908692039012,0.31157923276824845,0.5965789306962641,0.5526168867714355,52.16122267840809,0.523784433419514,0.5691291551713858,0.6670992849088414,-0.04404133017623416,0.25156004514083724,0.5859911311257106,0.3819131110342731,0.25126382973205036,-0.13206465277906318,133.37569941237098,168.46476595668437,83.78398546560898,208.92115977149297,81.33938750873693,74.65970597499086,269.8605566835087,647.6005535248322,477.11950263246104,3929.8235962456843,2377.152482747589,1009.2545071102855,602.7436414387786,2522.4169482995776,2909.2594992374857,3073.4356597230294,2860.4979475401883,2685.158583651765,2746.0670876832646,2575.2419444444445,2444.0512982593395,kfold8
