id,year,Lat,long,date_median,forb_kg_ha,grass_kg_ha,litter_kg_ha,pasture,season,low,high,shape,radius_m,herb_kg_ha_old,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,site,g.m2,Biomass_kg_ha,Year,CPER_2022,OLS_2022,OLS,LASSO,PLS,PCR,SVR,RF,GBR,kfold
los4,2017,43.124853241,-116.7540157,2017-07-18,165.44,316.66,490.54,los,peak production,,,circular,60,482.1,0.2869149112022287,15.426168997716193,0.1620588681553672,0.1581220451231486,0.0490238955115214,0.1741425923220186,16.72814101263606,0.0892801951578933,0.5135469958615286,0.3881390114316964,0.1504090305651656,-0.1138674131883984,0.1616377410713378,0.3726508467255922,0.0509417889004584,-0.2161524288742012,146.3337218310487,145.22571547039814,131.68883830752264,146.40418563278826,130.97064867038193,128.67558240896716,582.2141389635206,882.9068330872113,1211.3701737405552,2187.206814711492,2749.33677124933,1983.1538594423428,los4,47.766,477.65999999999997,2017,2054.8409600654236,495.1220376416841,380.8960580894887,1157.7860961107554,288.2877013706426,285.80109249853473,392.69339838705906,330.11022746944326,375.4842239241347,2017.0
los5,2017,43.127137719,-116.7549636,2017-07-18,134.35,218.91,303.75,los,peak production,,,circular,60,353.26,0.2771737655886783,15.565860337566768,0.1595950136613516,0.1637265444501006,0.025413214717962,0.1673113824646326,16.085512331529877,0.0852330575989807,0.5155410335641073,0.397028053213252,0.1468546189823844,-0.1347089772641055,0.1572621889751549,0.3759399324516878,0.0458614280157464,-0.2245414011045067,148.00506445542862,146.93167473942506,133.94553160170622,147.989872883822,133.2047252993506,130.8886688064427,614.6278876542518,901.6281427348192,1217.3112846941908,2151.197588476431,2819.3442416556795,2043.9662831843325,los5,33.873000000000005,338.73,2017,1850.6591254137445,422.03641679820413,372.76031414777384,1037.7433201083265,275.5010533077946,273.29433104542414,388.6939413521635,302.98874643313,410.1121206372947,2017.0
mbs1,2017,43.064119139,-116.7489159,2017-08-08,236.97,208.74,947.57,mbs,peak production,,,circular,60,445.71,0.5104486674373011,11.461340730745098,0.2158359509937103,0.2144781472869866,0.2033704583520298,0.2768930109699804,27.171621987452014,0.1981167734375284,0.5562081437290859,0.5204926570586772,0.0317423747384193,-0.0126954587304469,0.2680084886434525,0.2953539562093785,0.0916596536330893,-0.1658848653917403,148.64658230580292,162.2137947116999,123.49138690586489,176.82208610266437,121.29404065622808,112.638746183338,372.2545786237224,624.4830606609744,690.6766012648305,2138.197196901845,2188.013342486761,1412.1743881251405,mbs1,63.385000000000005,633.85,2017,2709.4246248522654,672.3401848524903,580.3488899287009,487.05851100140285,518.4831701173798,515.6317460887218,606.1079683309982,502.31815511680645,471.0151376065481,2017.0
mbs2,2017,43.072781143,-116.7701807,2017-08-02,208.93,191.51,425.69,mbs,peak production,,,circular,60,400.44,0.5609250692517299,11.061955917477626,0.2465951808727829,0.2303995470601777,0.2720181652328126,0.317338923399332,30.871939661845456,0.2407780271549786,0.5559752183569439,0.5425635540875055,0.0114594433920688,0.0281137774794518,0.3100039842051665,0.3067988291624351,0.1117722694316432,-0.1623192009466745,144.69586252539807,162.48796272641437,116.90485939525034,182.41279469582489,114.7303213337736,105.81521283990264,352.2141374467289,636.290780725189,662.6274196791663,2363.22841156666,2232.3547816600208,1351.7533009842389,mbs2,32.285000000000004,322.85,2017,2338.9123359085606,693.8229861490094,713.2413901421262,503.73872171206256,587.9260677787538,585.9400260014932,611.689026526786,562.9908004880975,470.20720415775185,2017.0
mbs3,2017,43.071059894,-116.769988,2017-08-02,255.01,212.2,604.21,mbs,peak production,,,circular,60,467.21,0.5605871425243207,10.48171035611085,0.2292437251625238,0.2257015579346684,0.2493399582032955,0.3083771517392957,30.17328217525365,0.2303029050871064,0.5594518896681768,0.5463917845421955,0.011362316684013,0.0219235504182624,0.3004240938114874,0.2960705558814075,0.1058401024405664,-0.1610100419474105,146.36973705318823,163.86611986808663,119.2735715353274,182.99952511251493,117.04861754342856,107.94952942768596,340.3410478256329,610.6064405155736,635.102578525902,2260.965791141997,2163.0878816112454,1357.7244702094722,mbs3,74.664,746.64,2017,2395.43792867347,673.0598546270686,636.5930474197711,564.1905065144294,578.5630422514038,576.8513113890107,587.7791370131245,572.2276034228659,505.7015973658194,2017.0
mbs4,2017,43.073200952,-116.761991,2017-08-07,300.28,202.35,633.26,mbs,peak production,,,circular,60,502.63,0.4934794656397655,11.545725801152187,0.2055679032772941,0.212173028743314,0.1875946451207083,0.2752945105359057,26.855903662008444,0.1959746242820325,0.5558977743213916,0.5080366689444858,0.043107116048428,-0.0182074214740269,0.2666170753406179,0.309717124270061,0.0919195675488313,-0.1750573799584037,148.94720946068443,160.57083729680517,123.03313826312986,173.2032187622955,120.78300722128506,112.63656003688448,398.7724084438994,653.497193696068,747.3426343063826,2209.9434191483388,2288.6125275326463,1508.705014292622,mbs4,85.11699999999999,851.1699999999998,2017,2488.317041287367,634.1984809178598,539.034142471253,520.1962674761694,497.0054154117385,494.7393772009808,585.1341470029442,491.41754292959695,439.7272925526471,2017.0
mbs5,2017,43.07346037,-116.7602584,2017-08-09,244.02,175.74,523.61,mbs,peak production,,,circular,60,419.76,0.4799114310889793,12.392105473996114,0.2146593859970379,0.2061249838966485,0.1949780925836748,0.2651263122789151,25.916055412710588,0.1853896936312863,0.5498000025660092,0.4955915549784102,0.0489352568921031,-0.0202960869319338,0.2556239630523472,0.3042791042829103,0.0881189363674953,-0.1688836798718441,148.97141643239075,159.5349168333358,123.83018277078918,171.06967653817406,121.60944794611818,113.58534891555074,401.3351423225889,651.5537632041866,755.9813200105524,2156.5396012124925,2241.712998660101,1449.837653065394,mbs5,83.683,836.83,2017,2938.3913083555194,720.4674276815756,575.5374573562527,520.9079440455952,487.30190704163016,483.6309608985811,645.8529703505184,480.24831807850313,499.47916080756625,2017.0
wbs1,2017,43.168158005,-116.7130521,2017-06-07,116.35,134.72,416.63,wbs,peak production,,,circular,60,251.07,0.3101034323141091,12.716178214402964,0.1390351365747895,0.1520978557132853,0.0484829434580869,0.1869614261363688,17.98450960295713,0.1132758269341139,0.4818617298934878,0.3904098201936035,0.106846386750619,-0.0911054439852766,0.1837365432382562,0.3746963928652239,0.0517254820044988,-0.2127165386449728,150.0733075511383,152.35869578367527,132.87839819285043,155.9496256289489,131.55079657633885,126.79192007080816,671.3321952602195,934.5757693149716,1172.7151612114376,2217.337189475068,2668.503789065856,2026.8885672792169,wbs1,17.726000000000003,177.26000000000002,2017,1665.8520827755099,390.46818813948937,308.2950808503451,556.510155444061,298.0976192410923,297.768074079855,365.8325112314503,294.49122354000076,287.56586070063736,2017.0
wbs2,2017,43.170171842,-116.7223203,2017-06-08,148.44,145.64,255.92,wbs,peak production,,,circular,60,294.08,0.2996268376749071,12.086025096230536,0.1269703789110859,0.1505890480213995,0.0223446429786284,0.177132814046969,17.093606397004095,0.103544580172872,0.4856734880204966,0.3922083900709677,0.1116071313140508,-0.1049426373174909,0.1735807946101097,0.3648366583789302,0.0463821745425232,-0.2126735181530026,151.7890777319697,153.39194455612426,135.5358742633248,156.26116671539134,134.23282860525268,129.79138093212993,657.5020972724913,907.5336423964372,1145.0209508398016,2121.3584528539477,2619.5057340510266,2032.0076615857372,wbs2,22.345,223.45,2017,1679.4809086787122,347.93621954292337,273.3135176421542,477.50518257221273,289.53814101840567,289.42757258376116,342.78584484162144,274.1753694957643,306.3093266418005,2017.0
wbs3,2017,43.17160272,-116.7223271,2017-06-08,138.29,171.85,343.85,wbs,peak production,,,circular,60,310.14,0.2854982985887541,12.068206685409123,0.1224985785762109,0.1409255385110344,0.0182841158034164,0.1665300017525555,16.109650483846718,0.093262654756511,0.4755384245351505,0.3786368941638918,0.1175550936754246,-0.1044619148678206,0.161868112497429,0.3567811542354737,0.0421056038271882,-0.2052535274506649,151.07862293789762,152.52925853372685,136.8994351342144,155.31784453779358,135.9204125019414,131.98457582429936,648.3258584096842,901.7490702592444,1144.1623929842792,2054.4341506343944,2534.6731842550985,1984.773997146462,wbs3,37.91777777777778,379.1777777777778,2017,1866.7027688213032,366.6191851061251,260.882542579506,380.2592548653595,282.2505515903586,281.82173983487286,323.22772439584094,266.9041587037222,283.4048090656627,2017.0
