Unnamed: 0,Block_name,Treatment,Date,Site,Ranch,Year,Low.reading_mean,Low.reading_sd,High.reading_mean,High.reading_sd,Low.rounded_5_mean,Low.rounded_5_sd,Low.rounded_10_mean,Low.rounded_10_sd,High.rounded_5_mean,High.rounded_5_sd,High.rounded_10_mean,High.rounded_10_sd,Sample_ID_vor,mean_biomass,sd_biomass,Sample_ID_bio,X_coord,Y_coord,ID,Block_Id,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,CPER_2022,OLS_2022,OLS,LASSO,PLS,PCR,SVR,RF,GBR,kfold
1,7,AD,2022-06-06,MI,LC,2022,45.7272727272727,5.66679398889302,85.3636363636364,6.96621407423993,47.7272727272727,6.11930449037204,49.5454545454545,7.22249971716871,86.5909090909091,6.24621097267388,87.2727272727273,6.31085095901019,2022-06-06_MI_LC_AD_7,1586.66666666667,329.524910540412,2022-06-06_MI_LC_AD_7,-85.213424,44.306466,7_AD_2022,7_AD,0.8940384952633693,3.2078596793057543,0.4014411051801163,0.2550294933639659,0.7542615207027631,0.6773435990797234,63.88152634405304,0.6958894604828181,0.5106195386835197,0.7063146543363812,-0.0507677779403775,0.5041558941591688,0.7740848765201314,0.3838315715372988,0.3427377349240114,-0.0527192724384571,139.5188749096519,180.38967528168405,70.59147286384436,216.5579055388912,67.8661591286732,62.51502480469023,229.28006780877263,514.9488877736707,269.7979949497185,4836.78355885445,1587.579352692571,675.4859168633903,278.88414646920586,2251.412365086575,1794.1630740228027,2201.8791256552854,2570.228959026136,2666.723826829664,2023.324451357358,1883.921143301624,2159.062784246706,kfold3
2,7,AD,2022-08-22,MI,LC,2022,21.6,5.96310495376823,65.7,25.2137756545627,23.0,5.8131835897618,24.6666666666667,6.8144538746106,67.0,24.5511429609632,68.6666666666667,24.3159282737898,2022-08-22_MI_LC_AD_7,1756.66666666667,314.710063776842,2022-08-22_MI_LC_AD_7,-85.213424,44.306466,7_AD_2022,7_AD,0.704839310164721,8.42802376484504,0.3234509453918958,0.3089306141691387,0.4269283300617195,0.4704560636377164,44.63646750292577,0.424920228985102,0.5836712580040376,0.6423753103514876,-0.0323065912596254,0.1235635655020588,0.5024064845810018,0.379848861006157,0.1965901733435646,-0.1768130012581919,140.94166503917157,170.9116628652702,96.22166051986868,203.4383442102428,93.55459631906872,85.89346067909203,379.671253657784,698.7812991529472,585.8111008578906,3414.261642879232,2663.0071895603623,1366.5453818582992,779.1934978063508,1252.2715692997635,1695.0301675591882,1495.4371127788872,1484.1505841190808,1317.9934302285715,1505.3745638612506,1141.0659447330866,1247.1429101167832,kfold3
7,7,AD,2022-07-05,MI,LC,2022,21.3928571428571,8.47365977915741,80.8928571428571,16.9297880928181,22.5,8.55266906574481,22.8571428571429,8.54493259282208,81.4285714285714,16.3218294440947,81.7857142857143,15.8823385321141,2022-07-05_MI_LC_AD_7,993.333333333333,412.148840428633,2022-07-05_MI_LC_AD_7,-85.213424,44.306466,7_AD_2022,7_AD,0.609451014802485,11.356696362525724,0.3054825732196304,0.2648846094155268,0.4127272717068052,0.4414903367010906,41.68318567662365,0.4075729886510212,0.5356286907842982,0.5251507560017666,0.0085401437557942,0.1229239543356868,0.4488669966551181,0.4381986187570795,0.1996053090263255,-0.185660433349463,132.0463426828148,152.58700301522344,92.78415488367509,182.61337137499007,90.83666319697298,84.36233504919359,441.35599009264735,881.0133805708462,904.7078421303104,3760.744818896266,2913.1872718926184,1548.4493221585983,575.3117935649154,1964.23711678756,807.2599256678377,1644.5433475897566,1829.5586889421447,1937.3127272296874,2651.213593164385,1151.7098944486208,1739.8703344143212,kfold3
9,7,AD,2022-07-28,MI,LC,2022,18.2857142857143,5.40820462341037,71.9642857142857,19.0369662671363,19.6428571428571,5.76203594236084,21.0714285714286,6.28890010655795,73.5714285714286,18.4519969238072,74.6428571428571,17.7392936635746,2022-07-28_MI_LC_AD_7,1053.33333333333,464.872742443205,2022-07-28_MI_LC_AD_7,-85.213424,44.306466,7_AD_2022,7_AD,0.6436713274381338,10.258639247668146,0.3113787050391303,0.2862606461245449,0.381036656659576,0.4173577951683163,39.74048205572086,0.3589271705983678,0.5750330462233934,0.5970981519456448,-0.0114898554479456,0.0803125438070085,0.4323092294878027,0.3751901747170916,0.1684350087706646,-0.1821828391593828,140.93803022901528,164.9001302358241,101.34250796554905,191.4772208781412,98.78606975851214,90.96731302419218,405.2699394674568,729.7327635528793,697.6674849304529,3155.479895578157,2692.6578763487155,1422.246496544017,1067.8322369448902,1183.78772106655,1342.6705980474694,863.5464735417769,949.3409916340696,954.6687788849988,1037.1658000874697,928.6931202866026,678.4568679497602,kfold3
11,7,PR,2022-08-22,MI,LC,2022,8.34615384615385,3.16154781956317,21.7692307692308,16.6236161945774,9.61538461538461,3.44182420326109,11.1538461538462,3.25812593608421,23.6538461538462,16.0970613658327,26.9230769230769,16.9160824706504,2022-08-22_MI_LC_PR_7,480.0,300.786846907785,2022-08-22_MI_LC_PR_7,-85.2134085,44.305256,7_PR_2022,7_PR,0.7762880609652761,6.585653904766724,0.3532492719295843,0.3083533508942859,0.4966246276574883,0.4878434864333999,46.62148662236477,0.4306225823069425,0.5923620839838,0.697275257157763,-0.054015678717637,0.1745679461736717,0.5241789672125398,0.3306970933057515,0.1979618690718902,-0.1423211385013253,143.83955388222444,178.09837312287837,96.37191058592909,210.7718273986416,93.32508289484028,85.09495401698115,300.21533173604485,573.7293951124512,399.6690410747077,3201.5382568875866,2245.8344744840483,1071.2170078090976,972.6406490839688,536.3489765127282,375.72099174415746,938.5950658796348,699.8584814743164,687.0070676001426,734.7699754853453,744.9618495727174,793.3693845662686,kfold2
13,7,PR,2022-07-28,MI,LC,2022,11.2142857142857,2.89772762640408,45.3928571428571,25.8304145816578,11.9642857142857,3.42628340763253,12.8571428571429,4.60043706228236,47.3214285714286,25.6573627746552,49.2857142857143,26.3773993366897,2022-07-28_MI_LC_PR_7,660.0,374.165738677394,2022-07-28_MI_LC_PR_7,-85.2134085,44.305256,7_PR_2022,7_PR,0.6373033301145002,10.149361604554484,0.297431233132015,0.2929156703932251,0.3415325029508858,0.4025800010123076,38.4455072197488,0.3406627038028125,0.5872565326998923,0.6071754605825299,-0.0142123469138415,0.0486507442501051,0.4154157023841717,0.3642053160260303,0.1566084196072101,-0.1907143073340345,142.9727227361484,166.76563904054058,104.92042573537108,193.6644789837205,102.29077759775122,94.02516740970702,400.4262524485048,705.7789952394762,664.3742836656363,2985.232400313508,2711.917086054684,1470.9422390974094,1118.2541741413906,654.2103623261388,1001.7462210508619,872.5500354249448,836.4495261522385,800.9073007003483,1290.1908469346556,892.7481313524471,1041.209307971447,kfold2
14,7,PR,2022-06-06,MI,LC,2022,46.0,6.54828221749796,82.9230769230769,7.86345001598193,47.6923076923077,7.37980612628397,50.0,8.94427190999916,84.0384615384615,7.21376888585028,85.0,7.07106781186548,2022-06-06_MI_LC_PR_7,1720.0,684.923353376128,2022-06-06_MI_LC_PR_7,-85.2134085,44.305256,7_PR_2022,7_PR,0.8827121553262235,3.5431726307481046,0.3968534188872286,0.2507883819626395,0.7370180904111685,0.645195667384671,60.8677367817178,0.6430576273134107,0.5028030565137618,0.6928244687733464,-0.0551569037495203,0.4771157358314576,0.7249873810801999,0.362995919458541,0.3137199026696448,-0.0567247444835538,138.3430101525972,179.24475020052182,74.4737448829886,216.7542143972261,71.69701883384006,65.83380984885136,224.46517422319468,521.4883890849452,276.09523462882214,4475.93061808893,1569.6978885267033,671.9309226249767,386.8760508336286,1506.3565856164278,1578.9359034449442,1536.613581382473,1865.8169843994785,1803.3627920639842,1117.4054344679507,1752.8479646360836,1548.4805885438343,kfold2
15,7,PR,2022-07-05,MI,LC,2022,13.6190476190476,4.87315288572183,59.1428571428571,30.0121404006541,15.7142857142857,4.81812055829716,18.0952380952381,6.01585207518238,60.0,29.2403830344269,61.9047619047619,27.3164872593545,2022-07-05_MI_LC_PR_7,793.333333333333,330.252428706689,2022-07-05_MI_LC_PR_7,-85.2134085,44.305256,7_PR_2022,7_PR,0.610548614886089,11.259326007334296,0.3021089373492068,0.2722928876737864,0.3888682832730627,0.4261527472751571,40.32789846675597,0.3814302099736387,0.5543338170357215,0.5406229074312127,0.0054418892335017,0.0959924581321886,0.4290256520360999,0.4174225307310095,0.1853963149710848,-0.1887881010118415,134.38389112757056,154.59083647919184,96.21715748546684,183.338796661134,94.15345772018335,87.17095488438392,418.8359145054635,829.4305960145126,850.6780302896643,3522.516986682459,2876.305333247155,1532.916005475356,742.2762255194683,1629.2096848750978,1345.7450326211765,1403.8776758173606,1720.3877517447684,1738.219633655476,1542.1663912613494,1141.2853780455553,956.2585914916231,kfold2
21,8,AD,2022-06-06,MI,LC,2022,44.5,7.51541625470482,74.8571428571429,10.2621717639187,46.25,7.53080095095887,47.8571428571429,8.32539304250372,76.25,10.4194440741728,78.5714285714286,10.4400531126383,2022-06-06_MI_LC_AD_8,1566.66666666667,613.666576136151,2022-06-06_MI_LC_AD_8,-85.2125535,44.3018488,8_AD_2022,8_AD,0.8687037625997,4.00414216390295,0.3967058363496583,0.2626797017758395,0.718414789051534,0.6444210008766049,60.79345513198985,0.6515806100744927,0.5079010129750785,0.6864611119282341,-0.0540345309393198,0.4496283418065491,0.7297719019457662,0.3806886357935579,0.3169080480612622,-0.0683292585652589,137.71761775655722,178.75674060965417,74.05393586674458,216.8523128640497,71.34802393753785,65.55088965817185,257.516486530045,565.5476940883857,320.313016848951,4579.507464245762,1732.24514644494,746.5544031927365,,,1785.5738073613086,2036.3727317095127,1941.984843396002,2164.716407072339,2252.7686444748065,2007.627591507752,2270.345165909414,kfold1
22,8,AD,2022-07-05,MI,LC,2022,15.1785714285714,5.46404795969253,67.4285714285714,19.8763372649184,16.4285714285714,5.75054632785295,17.5,6.45497224367903,69.2857142857143,19.4705040792613,71.0714285714286,19.8772689297554,2022-07-05_MI_LC_AD_8,593.333333333333,535.1136950842,2022-07-05_MI_LC_AD_8,-85.2125535,44.3018488,8_AD_2022,8_AD,0.7070668068995581,8.580264866608772,0.336753562596761,0.282417973729466,0.4838124487389992,0.4841889178150041,45.84048532597498,0.4416191747366879,0.5585852754041551,0.613459895043832,-0.0217787747162138,0.1850964128553415,0.5113938174919527,0.3827602363685689,0.2110039449524971,-0.154178524003464,138.2414683843537,166.37985010705606,92.38538392175568,197.96044787064648,89.8142352885941,82.772459248253,360.0321867962392,698.516982891336,613.4524362519633,3588.099001952975,2485.130441075244,1252.500711412529,,,2053.3113741715783,1988.9554437242589,1287.7033250966936,1386.7600019093775,1418.0855034973106,1521.8491455302512,1851.576165574997,kfold1
