Unnamed: 0,Block_name,Treatment,Date,Site,Ranch,Year,Low.reading_mean,Low.reading_sd,High.reading_mean,High.reading_sd,Low.rounded_5_mean,Low.rounded_5_sd,Low.rounded_10_mean,Low.rounded_10_sd,High.rounded_5_mean,High.rounded_5_sd,High.rounded_10_mean,High.rounded_10_sd,Sample_ID_vor,mean_biomass,sd_biomass,Sample_ID_bio,X_coord,Y_coord,ID,Block_Id,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,CPER_2022,OLS_2022,OLS,LASSO,PLS,PCR,SVR,RF,GBR,kfold
1,1,AD,2023-09-15,OK,CR,2023,33.1034482758621,15.1004844472577,65.1379310344828,18.0470103141985,34.6551724137931,15.5799226618037,36.8965517241379,15.8347376440583,66.8965517241379,17.3418256321576,68.2758620689655,16.4900328157954,2023-09-15_OK_CR_AD_1,1299.6,734.276242295773,2023-09-15_OK_CR_AD_1,-97.236882948,33.935235126,1_AD_2023,1_AD,0.6404320671766693,10.795332865859194,0.3271653218309791,0.2842150310753454,0.396524764896803,0.4114295715917668,39.21968965142033,0.3454380611694045,0.5911071494553183,0.5916823312907391,0.0017349682317559,0.0815962017876403,0.413731527229563,0.3616758305718657,0.1676282501289557,-0.1748736001012412,140.6629698747224,161.18234673599184,101.4855101472059,185.19801561981075,98.9359824714436,91.3335777372825,346.56279924029496,669.4077475151556,675.9873379737707,3081.9906524248013,2619.1980032798456,1331.2726406367806,1357.2369717730637,2404.0044144472295,2581.874154002646,2608.8397898185613,2589.8131231497828,2544.481557095191,2580.008346198377,2437.28769871394,2659.9194523075885,kfold1
2,1,AD,2023-08-17,OK,CR,2023,32.7777777777778,16.2204366187401,61.4074074074074,17.7553009619863,34.4444444444444,16.3102924874338,36.2962962962963,17.1303033670538,62.5925925925926,17.9941427633876,64.8148148148148,17.8391036275262,2023-08-17_OK_CR_AD_1,2793.76,1377.72033736895,2023-08-17_OK_CR_AD_1,-97.236882948,33.935235126,1_AD_2023,1_AD,0.6710257706215963,10.06739677867336,0.3458257540203847,0.2880806130412911,0.4582344714193199,0.4577556754045839,43.34235609491592,0.4117542315073805,0.562762945471267,0.5915801087187829,-0.0138260131148488,0.1376045567470382,0.4719936689393126,0.3876275199355352,0.1975843717399515,-0.1658891120586392,135.67587067189328,161.35820790307312,94.22735789139936,193.3561180233944,91.90020599251348,84.70723265925936,362.8946228082441,734.9570998111558,680.7290088079408,3481.3862956890453,2639.6177140538143,1290.6014551591393,874.9341151920079,2517.839341538417,2562.637642944778,2718.958018673251,2873.8403750501943,2893.590114177615,2795.5358864257323,2315.216938344063,2521.4527627421103,kfold1
4,1,AD,2023-06-22,OK,CR,2023,13.9259259259259,15.7331739815195,56.3703703703704,28.2790329343792,15.7407407407407,16.3321122864708,16.6666666666667,16.1721508012528,57.962962962963,27.7093173464499,59.2592592592593,27.3053849191702,2023-06-22_OK_CR_AD_1,2133.92,1863.55096308097,2023-06-22_OK_CR_AD_1,-97.236882948,33.935235126,1_AD_2023,1_AD,0.6429144213708456,10.210210886537626,0.3130981550305628,0.2840115046775576,0.3999706104299617,0.4377538223282006,41.51404655821411,0.3951942538941242,0.559639990072642,0.5861701487914612,-0.009271391176069,0.1065185277607751,0.4530123772019819,0.3918789642120787,0.1867934329573942,-0.1782917612363143,136.07551299373733,161.60006919783618,97.79431489383174,192.82571888169988,95.66978156788464,88.31664328336322,383.3855303740445,763.224855071172,713.8827316603192,3404.833305563314,2707.319900127433,1425.4655885102345,824.4481240412632,1924.0830455165133,2250.4431377090496,2296.63402433083,2444.9209443337895,2380.7443107441254,2408.6233736884296,2236.8862962916896,2553.4341173066464,kfold1
6,1,AD,2023-07-20,OK,CR,2023,26.8,18.6721256385573,54.4,23.8524198150729,28.5,18.8528786789381,30.3333333333333,18.8429687486969,55.8333333333333,23.5651457019477,58.0,23.6934444592767,2023-07-20_OK_CR_AD_1,1974.93333333333,724.333344991563,2023-07-20_OK_CR_AD_1,-97.236882948,33.935235126,1_AD_2023,1_AD,0.6846022256727564,9.18233120316117,0.3268476080752143,0.2993952181572673,0.4248355343948327,0.4558497451287683,43.255682994321866,0.4075085463677847,0.5747681051054586,0.6214854189052844,-0.0249291542337378,0.1177243144696322,0.4775762241031644,0.3784407173147427,0.1901849063771728,-0.1747434681206679,138.60125532766747,166.9353578187063,96.9490228962468,199.41629243125132,94.47110952478612,86.84610759059181,369.2863891591086,712.6821158515729,623.9794018720834,3357.805255948364,2651.951934873752,1353.6983785604975,861.0774320129177,1896.633243350398,2117.9886548372,2184.158694837426,2305.2869188317063,2313.6456692160223,2255.9226125179916,2309.361008213914,2389.753864418966,kfold1
9,1,AD,2023-05-25,OK,CR,2023,45.2608695652174,16.1701672316768,68.8260869565217,15.7123349746539,47.3913043478261,16.2976270733302,50.0,17.0560573084488,70.4347826086957,14.7642876469988,72.1739130434783,14.1281542702153,2023-05-25_OK_CR_AD_1,1705.0,805.429882733438,2023-05-25_OK_CR_AD_1,-97.236882948,33.935235126,1_AD_2023,1_AD,0.7944558290032273,6.323264017537536,0.3802730117258521,0.2936423120925597,0.5985134443440835,0.5557418252580183,52.55924006326746,0.5409807655758572,0.5162490912669142,0.660491056527638,-0.0641097206370972,0.2821686881092079,0.6051742933177056,0.3772329004926796,0.2512441286594606,-0.1183238552623999,131.30201623007912,173.0901892608845,84.30851045834743,218.36606020824448,82.01151459599812,74.83993513324222,300.7865561704047,700.2085368090508,448.3216128929856,3932.25498403848,2200.9614861410746,985.6308655099024,548.0677714734389,2761.308775303249,2768.343665286317,2634.4125989077274,2729.5546021174728,2611.5306488509973,2675.448746247843,2625.088827106744,2717.0425552213196,kfold1
10,1,AD,2023-10-12,OK,CR,2023,28.1153846153846,11.1151317511829,68.2692307692308,15.7722736276231,30.3846153846154,11.0383945320936,32.3076923076923,12.1021295011059,70.0,15.8113883008419,71.9230769230769,15.2365956221804,2023-10-12_OK_CR_AD_1,1023.92,156.235565733286,2023-10-12_OK_CR_AD_1,-97.236882948,33.935235126,1_AD_2023,1_AD,0.6700248126030052,9.538533279676672,0.3178481515097296,0.2750585219459051,0.4050966463483272,0.4074016493054685,39.12641022816247,0.3372321719282515,0.5834269871350103,0.6106998605995894,-0.0173420813205602,0.1004519019337358,0.4134649650179145,0.3275143345804595,0.1585005530632673,-0.1561121497927102,142.70904940179437,166.8220971571058,104.27879668544844,193.49143659556387,101.56143341813748,93.12242748662769,320.6399430714173,614.706411674546,563.6049416136918,2850.135098549513,2330.650218186727,1208.6349173886904,1590.8685168339973,2196.5188497272015,2364.5825287293037,2344.852680483521,2226.571794906774,2264.9742687080516,2401.035085403147,2960.615522685347,2397.3173656039553,kfold1
11,1,AD,2023-04-20,OK,CR,2023,20.0,13.7334881094416,35.4583333333333,19.6446234854236,22.5,13.5132784938435,24.5833333333333,13.1807391317016,37.0833333333333,19.6112582277467,39.1666666666667,19.9818758458469,2023-04-20_OK_CR_AD_1,1090.66666666667,1048.35962277582,2023-04-20_OK_CR_AD_1,-97.236882948,33.935235126,1_AD_2023,1_AD,0.6282921573802094,9.88132698130512,0.277711182214708,0.2750037742603911,0.3419400652599428,0.4037414895004554,38.46441707233526,0.3508474743118073,0.54781007799005,0.5851166435283546,-0.0241478541154817,0.0724546063949556,0.4243936531214518,0.3718921028591419,0.1573015449756712,-0.1841684736355439,141.1284115797353,167.89874514576314,104.53959602940851,198.0606279026765,102.07773720733972,93.55399586774246,447.64511520052304,770.9569690964281,696.0656014483046,3051.374080328166,2642.2614689971647,1498.741828634386,976.6515426499132,1394.3547663918205,1214.028182179533,1175.1896922032151,1273.7076341825848,1208.0495280009836,1350.8326848674287,1148.8572170728212,992.1101787798865,kfold1
17,1,PR,2023-04-19,OK,CR,2023,15.1,5.47942861355402,24.2333333333333,13.289050025292,16.8333333333333,5.49032587019382,19.3333333333333,5.83292280985675,25.8333333333333,13.5241376379633,28.0,13.4932933532641,2023-04-19_OK_CR_PR_1,689.733333333333,394.031118906447,2023-04-19_OK_CR_PR_1,-97.2259055488889,33.9314684488889,1_PR_2023,1_PR,0.6638660727231096,9.144579177591451,0.2954591644462587,0.2787197168665153,0.3914668367649483,0.4314200946628315,41.04750857371327,0.3816561667703841,0.5467436552599542,0.6014477945834853,-0.0313185443244795,0.1121880428870063,0.4563515599557456,0.3681780647561949,0.1731093332838124,-0.1708977535730438,140.09661155686493,169.22053852901186,100.91750288780878,201.40180834024028,98.39567001083124,90.11443905133636,413.95981226815167,740.9186971860627,638.0089657345898,3176.913470345384,2538.225730300494,1389.017670354553,931.4970802628178,1569.495717217445,1445.1968187218788,1463.7101561841725,1397.4542506774187,1411.5521845794049,1430.7339583793118,1600.0689288781632,1524.036670853591,kfold10
19,1,PR,2023-10-12,OK,CR,2023,18.1,8.31015166466023,65.3333333333333,14.6624863426066,19.8333333333333,8.55845350730969,22.0,8.46901044579793,66.8333333333333,14.6501343605309,69.0,14.7039755356068,2023-10-12_OK_CR_PR_1,1786.26666666667,1163.29712570206,2023-10-12_OK_CR_PR_1,-97.2259055488889,33.9314684488889,1_PR_2023,1_PR,0.5153039297717649,12.536375749419838,0.2433973237706878,0.2743857471691991,0.1358575526814623,0.2769582613948408,27.225934776260544,0.1934602934860315,0.6363427215507553,0.5926198523443996,0.0415302313987459,-0.1112928644999724,0.2687957763088511,0.3099179875377639,0.0886678545216487,-0.2103263432722813,154.86189563367913,165.18586809707173,126.1127254615254,175.65663024248013,123.277815118209,114.90966040715796,370.8203466543855,586.3892718144393,673.7060281427439,2111.7734411514048,2640.7075779511238,1607.1178005762042,2113.5414602502938,1601.0801264289805,1832.275726648471,1677.5972416857705,1684.9329294965944,1648.407236622555,1788.027794676009,1638.1726587743844,1617.6818394549741,kfold10
20,1,PR,2023-09-15,OK,CR,2023,15.2592592592593,8.15047234399329,35.9259259259259,7.48293404984315,16.4814814814815,8.52764901486909,18.1481481481481,9.62250448649376,37.962962962963,7.87635937708768,40.3703703703704,8.54016820293798,2023-09-15_OK_CR_PR_1,1791.26666666667,854.545471386202,2023-09-15_OK_CR_PR_1,-97.2259055488889,33.9314684488889,1_PR_2023,1_PR,0.4504335722503888,16.028395291192187,0.2682919456426721,0.2539334509313659,0.1834069178359412,0.2734146159489817,26.30725538310194,0.1921307531695948,0.593913116906816,0.5180547554800897,0.073292669190144,-0.0891011040531765,0.2633002591005878,0.3684974431067228,0.0976343764755515,-0.2200328366831682,147.70919435544937,153.82343288908837,119.49249880764012,161.1611364822121,117.20238591482295,110.41496907876338,476.2572588538286,753.5154152947146,948.3616224571506,2493.686355005309,2965.6838598515137,1703.792570266417,1993.994701792579,1823.0248134501119,1987.9067918402545,1779.791796712385,1839.380781308255,1785.302553363059,1702.3949004756641,1658.0142550857493,1315.7269679416752,kfold10
