Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2
89_2015,2015-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89_2015,2015-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89_2015,2015-01-28,0.2320584505759288,16.362672269744042,0.1514107354104002,0.13145562934724953,0.010918387585636463,0.12259926896368305,12.10566951154067,0.049783999999999995,0.47878451144417705,0.3605660607490247,0.1562464283425906,-0.14055612378008758,0.11304422240567835,0.3074303329166667,0.02709956916666667,-0.17671330541666666,149.21156616516734,149.14590553576872,142.92752812045364,150.842844719257,143.3536742965318,142.69128716693027,536.8333333333334,790.5,1055.8333333333333,1689.0,2244.4166666666665,1658.2083333333333
89_2015,2015-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89_2015,2015-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89_2015,2015-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89_2015,2015-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89_2015,2015-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89_2015,2015-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89_2015,2015-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89_2015,2015-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89_2015,2015-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89_2015,2015-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89_2015,2015-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89_2015,2015-07-23,0.38887133671089885,10.895145483369921,0.15027097442128948,0.18507114034544445,0.10484531269465237,0.27868536437998065,26.31239445882828,0.219836,0.5005582254223768,0.43122916951645585,0.07658168277990823,-0.044765477917068995,0.2820241683092192,0.49690010916666677,0.10025676000000001,-0.27967714375,140.38123988282874,149.10814988584397,116.88673231272452,161.14354192322136,116.0080113856257,110.7485868570551,762.875,1178.4583333333333,1414.2916666666667,3196.4166666666665,3514.1666666666665,2644.375
89_2015,2015-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89_2015,2015-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89_2015,2015-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89_2015,2015-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89_2015,2015-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89_2015,2015-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89_2015,2015-09-25,0.28488652845965823,16.68429158681025,0.17793466564008473,0.12273361457657861,0.1386291744358216,0.2221249023604267,21.007175731605567,0.13477099999999997,0.4639373853957875,0.32113912284689633,0.16028775949552085,-0.04036344588367866,0.2113966543007322,0.5705314612500001,0.08966212916666667,-0.27417612708333333,135.3955710135327,130.80862435692617,111.70095175788352,130.78042528397353,110.88185501247655,109.32814864681018,931.3333333333334,1406.25,1978.3333333333333,3534.0,3817.5416666666665,2674.875
89_2015,2015-10-11,0.2527471272165393,14.962997622310906,0.14504627986464014,0.15116998497277684,0.009178567514437394,0.1800355981709342,17.033707385412146,0.08732749999999999,0.512345488815051,0.3753994339708903,0.17325150650696006,-0.13608289703437682,0.16778050302069256,0.5120701900000001,0.05507333583333335,-0.3033087604166667,141.89629142554284,138.01242259728897,126.2837365582839,137.8335275057608,125.99139604340554,125.59563745066367,808.125,1226.0416666666667,1731.25,2885.0,3778.6666666666665,2834.2916666666665
89_2015,2015-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89_2015,2015-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89_2015,2015-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89_2015,2015-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89_2015,2015-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89_2015,2015-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89_2015,2015-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89_2015,2015-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89_2015,2015-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
