Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2
90_2018,2017-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90_2018,2018-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90_2018,2018-01-07,0.2472525787356258,14.44244236701374,0.13610224237704502,0.14781459405789044,-0.0028613339036023255,0.16165908180549657,15.37489247865205,0.07238349999999999,0.509372585045659,0.37313525990413704,0.1740347386954227,-0.13870511542583375,0.15063853606650618,0.43283902208333336,0.043977811250000005,-0.25889083416666664,146.24674971653994,142.04420397037427,132.3268271079825,141.2323136574799,131.83052860033737,131.68191285258476,707.5833333333334,1039.9583333333333,1459.5,2416.6666666666665,3193.4166666666665,2432.2916666666665
90_2018,2018-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90_2018,2018-01-11,0.22616668179632107,13.814949901260272,0.12265683973240392,0.13128776898323952,-0.014515019944202227,0.14876881262016464,14.140166352429219,0.06869699999999997,0.47061154231703,0.3518422243542547,0.15780551748360083,-0.13664214310622425,0.14030426405411986,0.4385076079166667,0.035876861666666676,-0.2543217091666667,142.49946273380334,142.01528482074315,134.2077360958373,144.17245139430125,134.92182948860906,134.55832945265283,760.5,1132.6666666666667,1509.4166666666667,2394.625,3147.3333333333335,2461.8333333333335
90_2018,2018-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90_2018,2018-01-14,0.24757434467530406,14.547435618215793,0.13735784166754697,0.14421815179128264,0.0063295424038957515,0.16344039834227653,15.526455015068981,0.07049700000000002,0.511597344260066,0.36666675894247697,0.1827143405735433,-0.1309626884978709,0.1495862888554384,0.4352571929166667,0.04677956958333335,-0.25759625833333333,144.07417546230252,139.8324535755162,130.6865339004177,139.17493717906876,130.4195008242691,130.66531652407562,676.125,1033.25,1481.0,2455.625,3194.5833333333335,2427.0416666666665
90_2018,2018-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90_2018,2018-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90_2018,2018-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
