Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2
82_2022,2021-12-30,0.20381085607203497,11.785485064063268,0.09783011644652802,0.15463006678585908,-0.11557914723459156,0.13502326345148274,12.820603040273273,0.055893272727272715,0.509351934271908,0.397711961640791,0.16253161118712578,-0.21100524581092897,0.1300309208946806,0.4736770331818182,0.020899837727272733,-0.31853620772727276,148.42789794174178,146.79647559473733,141.70937187590062,147.53403991607445,142.29516638909894,142.84647567222638,843.8636363636364,1188.4545454545455,1575.0454545454545,2382.0,3652.9545454545455,3002.4545454545455
82_2022,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82_2022,2022-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82_2022,2022-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82_2022,2022-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82_2022,2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82_2022,2022-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82_2022,2022-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82_2022,2022-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82_2022,2022-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82_2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82_2022,2022-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82_2022,2022-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82_2022,2022-01-30,0.21570499723236258,11.296275221648981,0.09595616336364293,0.17017058259193127,-0.134315291688546,0.13935918987850088,13.268536586093244,0.051971454545454536,0.5489172940936767,0.4223010368071936,0.1825782610746874,-0.22734140042715625,0.13241292939637714,0.4584040986363636,0.023323980454545465,-0.3265573990909091,154.22214291361624,148.4230228537394,142.83244909955923,146.0314778422534,142.23177211831876,143.4458560293018,774.6818181818181,1066.7272727272727,1487.2272727272727,2303.681818181818,3658.7727272727275,3018.409090909091
82_2022,2022-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82_2022,2022-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82_2022,2022-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82_2022,2022-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
