Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2
102_2020,2020-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102_2020,2020-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102_2020,2020-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102_2020,2020-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102_2020,2020-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102_2020,2020-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102_2020,2020-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102_2020,2020-01-26,0.1966273594975414,19.72902571018772,0.17231106995579365,0.14564033094305984,0.004224459495746005,0.13846040980220922,13.082897352563991,0.05402999999999999,0.4750702635703865,0.3528970766203893,0.17201711275311796,-0.1681787905387502,0.13014252203837093,0.5022505614285715,0.03303189250000001,-0.28752755928571433,137.09504140889638,135.6711796090531,130.7209588648737,137.55289272265682,132.31474761991308,133.73678872578057,885.6428571428571,1330.8214285714287,1788.607142857143,2659.75,3732.964285714286,2635.8928571428573
102_2020,2020-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102_2020,2020-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102_2020,2020-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102_2020,2020-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102_2020,2020-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102_2020,2020-02-11,0.1918151636388678,18.591066586766082,0.15899161887649946,0.13859070627065992,-0.00870456375009993,0.13617719118857372,12.86017206585017,0.053964857142857134,0.46603672687288483,0.34793775731232224,0.16762903482073455,-0.16745067610968306,0.1310792966368736,0.5120894535714287,0.02970739357142858,-0.29304568000000003,139.282673739101,137.29818425504232,132.16358577205187,138.5547979008065,133.41329598160092,134.76978092109331,954.75,1373.107142857143,1823.4642857142858,2686.1071428571427,3765.1428571428573,2732.5
102_2020,2020-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102_2020,2020-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102_2020,2020-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102_2020,2020-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102_2020,2020-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102_2020,2020-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102_2020,2020-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102_2020,2020-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102_2020,2020-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102_2020,2020-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102_2020,2020-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102_2020,2020-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102_2020,2020-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102_2020,2020-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102_2020,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102_2020,2020-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102_2020,2020-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102_2020,2020-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102_2020,2020-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102_2020,2020-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102_2020,2020-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102_2020,2020-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102_2020,2020-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102_2020,2020-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102_2020,2020-05-01,0.3030200355083167,13.380985860010636,0.1447878963769044,0.19304228737498041,-0.005310108960697252,0.21436449960860848,20.243330848339806,0.15235157142857142,0.508087189445628,0.43380774316057796,0.09429540036196167,-0.14996222173550014,0.21450329845748392,0.5142983453571429,0.06149378714285715,-0.32414721535714286,141.53097672615544,148.028869029126,127.49117722426332,157.4583150348913,127.44325745656387,122.67449533574593,862.5714285714286,1282.7142857142858,1554.4642857142858,2906.8571428571427,3931.6428571428573,2942.464285714286
102_2020,2020-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102_2020,2020-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102_2020,2020-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
