Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2
83_2022,2021-12-30,0.313572144493419,13.440948929997234,0.14068702830586316,0.13592345152899074,0.09922986424061062,0.23907641147393963,22.547608133056766,0.16894085714285714,0.4637648376661006,0.3527920623785352,0.12661596153254212,-0.042162149993882174,0.23950088830117497,0.5435703783333334,0.08895033714285717,-0.2803308488095238,138.99508450430926,139.43159319906547,115.89043137254791,142.94892515321283,115.110545688848,112.5945121986679,910.8571428571429,1341.7619047619046,1755.9285714285713,3377.809523809524,3660.976190476191,2773.9761904761904
83_2022,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83_2022,2022-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83_2022,2022-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83_2022,2022-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83_2022,2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83_2022,2022-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83_2022,2022-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83_2022,2022-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83_2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83_2022,2022-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83_2022,2022-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83_2022,2022-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83_2022,2022-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83_2022,2022-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
