Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2
82_2017,2017-01-01,0.21411901731213773,23.05437989834655,0.2166870941257772,0.14451012349117703,0.06857608106085679,0.12182339242082901,11.83852408328199,0.04342615384615383,0.4832600309173722,0.3529365937078314,0.17578143125879894,-0.15024096309019072,0.1103942431511388,0.33659295923076926,0.0309736676923077,-0.1832338330769231,142.43818315033462,141.62935408883519,137.4926402828467,143.234170716637,138.65332180335548,139.5186240105111,565.8461538461538,875.3846153846154,1201.7692307692307,1856.923076923077,2510.153846153846,1616.3846153846155
82_2017,2017-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82_2017,2017-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82_2017,2017-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82_2017,2017-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82_2017,2017-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82_2017,2017-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82_2017,2017-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82_2017,2017-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82_2017,2017-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82_2017,2017-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82_2017,2017-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82_2017,2017-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82_2017,2017-04-07,0.1864975590217435,18.57375995783911,0.15662376062597158,0.177190838529818,-0.09813392281272772,0.10515378816876474,10.238081305206181,0.041209846153846166,0.5094315148713988,0.41777747854920466,0.14304493886650177,-0.2508044825416714,0.10026322763759156,0.3674293653846154,0.011769474615384625,-0.24703405538461537,148.74254725365395,151.08393713908424,148.56829446216145,154.85301471697437,150.34797124278273,150.3982514650623,683.2307692307693,968.6923076923077,1224.076923076923,1786.923076923077,2976.3846153846152,2171.3076923076924
82_2017,2017-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82_2017,2017-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82_2017,2017-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82_2017,2017-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82_2017,2017-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82_2017,2017-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82_2017,2017-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82_2017,2017-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82_2017,2017-06-10,0.2348882283502062,10.054179623530633,0.08826578376130206,0.13047900768466514,-0.059772544824141835,0.17436547654709786,16.443517753026892,0.10244861538461537,0.4702690553116723,0.369422676288209,0.13522605271680518,-0.14723171608564148,0.17263157250947783,0.5635143423076923,0.040911540769230786,-0.34538779692307703,141.74375910902558,143.092395201216,131.59823485851035,147.11810416669746,132.2319198344234,130.43818024264175,1009.7692307692307,1463.6923076923076,1870.0,3021.6153846153848,4061.4615384615386,3403.153846153846
82_2017,2017-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82_2017,2017-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82_2017,2017-06-28,0.18853160727691937,10.329697943168547,0.08185286300443624,0.12324414062819503,-0.1044187430352978,0.13442551894410493,12.69091233156589,0.043001538461538466,0.49379301775215406,0.36063619570756816,0.19039112798766844,-0.18468713069537396,0.12602673074069554,0.528779506923077,0.023144152307692324,-0.33967705153846156,144.09402258954088,140.32066952888553,137.4228183741389,140.03998615237666,138.45047440660804,141.22203733922254,904.3846153846154,1326.8461538461538,1840.0,2694.5384615384614,3914.5384615384614,3322.076923076923
82_2017,2017-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82_2017,2017-07-12,0.19982225911095572,12.403576625028734,0.10253991049647532,0.11972031062205293,-0.06554647856118832,0.15580912810313213,14.707082723062387,0.07620923076923075,0.46624291451843075,0.3549015882308756,0.15702468416401635,-0.16696026683812126,0.1548428984991266,0.6274460976923077,0.031976113076923086,-0.38023886076923075,140.71805363466817,139.08033814922604,131.40135055948215,140.67181305548823,132.32396624868244,132.687728004083,1172.4615384615386,1659.4615384615386,2170.846153846154,3254.076923076923,4556.846153846154,3708.3076923076924
82_2017,2017-07-18,0.19663129636312807,11.543801704906851,0.09408051399294196,0.13085176483268884,-0.08946153065383501,0.13969230954713535,13.190609658853388,0.04702615384615384,0.50135101292452,0.3655419430602066,0.19144505102942627,-0.18200724002060328,0.12946231071225023,0.5216364669230771,0.027724539230769254,-0.3338938761538462,142.92527636152485,139.36032113609838,135.7179249794556,139.31114631583284,136.74156604814104,139.19388895945346,860.3846153846154,1292.6153846153845,1808.2307692307693,2693.3846153846152,3891.6153846153848,3222.923076923077
82_2017,2017-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82_2017,2017-07-28,0.1834070786881075,11.1510328134987,0.08794190084208285,0.10599594052207377,-0.07767505293354454,0.1386128344280912,13.071054506865456,0.05550184615384616,0.4547609605080071,0.33768468128640594,0.16770118165129635,-0.1644893250277029,0.13574269198251757,0.586876246923077,0.023488260769230777,-0.35222235230769233,141.09150379332362,138.9819656365911,134.4503141179246,140.1330976244781,135.7811692025111,137.46693840228875,1105.923076923077,1570.3076923076924,2074.6923076923076,3006.5384615384614,4189.846153846154,3512.230769230769
82_2017,2017-08-02,0.18974394752673554,10.958724073198162,0.08752675683855449,0.12346600685010209,-0.09870119172970068,0.14011934782641966,13.213841996173748,0.04956646153846155,0.49040214463793763,0.3616860027313169,0.18429508113162812,-0.18463032384916153,0.1339896353975733,0.5662622053846154,0.024768382307692325,-0.36110625384615386,144.14339935856518,140.0957551152704,136.01183014227192,139.66934530778383,136.79439038454086,139.14847694110657,1000.7692307692307,1433.4615384615386,1965.3846153846155,2885.846153846154,4192.2307692307695,3517.3076923076924
82_2017,2017-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82_2017,2017-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82_2017,2017-08-13,0.24032783711326064,16.51302297778653,0.1557722778534972,0.15517739657794666,0.0007470348464414587,0.14697990013722484,14.101238304132345,0.0660636923076923,0.5019448743911371,0.3810201926817971,0.1593990253094985,-0.15501631642578304,0.13717154863918296,0.3890157284615385,0.036364710769230785,-0.23290754461538463,145.60583310407088,144.53415064796056,136.07269113903652,145.76937566385655,136.23179716290386,135.42300223453492,653.8461538461538,968.4615384615385,1309.0,2136.6923076923076,2921.230769230769,2134.3076923076924
82_2017,2017-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82_2017,2017-08-22,0.19186569723014119,8.509893723211869,0.06697705459389693,0.1307622863494783,-0.1341812897524381,0.13091798976268282,12.395108157375601,0.049212000000000006,0.4937028134525646,0.37679943671442157,0.17030773746678138,-0.199364004700055,0.12646625788335236,0.49857733461538467,0.01700438846153847,-0.3324097792307693,148.62373728543753,146.08493918560472,142.4219589969239,146.18202530571966,143.1204921472199,144.59555051669042,904.0,1263.4615384615386,1687.3846153846155,2488.3846153846152,3727.076923076923,3259.6923076923076
82_2017,2017-08-29,0.1947874052220499,7.196311574243122,0.05641413407408587,0.11473657423704277,-0.11990936915900083,0.13525214001950286,12.78874358181354,0.060192923076923074,0.46305255835907244,0.35770165567120815,0.1511077809027287,-0.1751359520223111,0.13357101327742082,0.5097851746153846,0.01788653538461539,-0.3248505946153847,146.78630778683876,146.46474536100953,141.30984798993967,148.34903238121336,142.29273723184926,142.512241114583,970.0769230769231,1346.8461538461538,1736.3076923076924,2576.230769230769,3669.923076923077,3278.3846153846152
82_2017,2017-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82_2017,2017-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82_2017,2017-09-14,0.17845700544068885,7.810385030228257,0.059359683586819346,0.10459059167670147,-0.11615569212974133,0.1256389397512009,11.870140970539996,0.04747292307692307,0.4537487922593029,0.342103229650335,0.16275855800646014,-0.17430940169049616,0.12343031743534644,0.5204970846153846,0.014305194615384622,-0.3243828076923077,145.5251041969818,144.12074098968512,141.147890256334,145.29660845868744,142.4627896021645,144.0944929461112,1003.2307692307693,1394.2307692307693,1819.076923076923,2609.0,3709.6923076923076,3294.3846153846152
82_2017,2017-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
