Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,FMASK,SZA,SAA,VZA,VAA,maskcov_pct,ATSA
FE-30_2022-04-15,2022-02-14,0.1597522841679188,15.32780326563931,0.11829366551648707,0.1113422879008879,-0.055622498817075816,0.11084489980092678,10.479964949641463,0.032621999999999964,0.4380599925306105,0.32359750690287603,0.17051171499271778,-0.17277904536394484,0.10682054368770752,0.49515004000000007,0.014055365,-0.28435803000000004,139.7103853518205,138.79860036795822,138.3660836996291,140.7929588700262,140.77727803130722,143.8535967554273,967.0,1382.5,1808.0,2495.5,3538.0,2789.5,,,,,,,
FE-30_2022-04-15,2022-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-30_2022-04-15,2022-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-30_2022-04-15,2022-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-30_2022-04-15,2022-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-30_2022-04-15,2022-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-30_2022-04-15,2022-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-30_2022-04-15,2022-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-30_2022-04-15,2022-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-30_2022-04-15,2022-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-30_2022-04-15,2022-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-30_2022-04-15,2022-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-30_2022-04-15,2022-03-19,0.15781683752930908,15.22017942206027,0.1168471780569115,0.11233418408322737,-0.059972280965191006,0.09612666994022928,9.227218457411452,0.027144000000000033,0.4333979598339569,0.3244160367614845,0.16372129958736775,-0.1755890567564431,0.09026351193803892,0.39452088,0.010211100000000008,-0.227261875,141.3680034459095,143.00745953466634,144.26384432847664,146.8510962257893,147.41706775494953,149.99641546032075,756.5,1115.5,1439.5,1979.0,2822.0,2231.5,,,,,,,
FE-30_2022-04-15,2022-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-30_2022-04-15,2022-03-26,0.16603832654139133,13.995987696999016,0.10845804002798748,0.12278993533140155,-0.08343437677736239,0.11454852081502262,10.834605784026984,0.03878399999999999,0.4535708739982315,0.34530521365552447,0.1627352704076268,-0.19017116682026736,0.11101979657411397,0.4988402500000001,0.012918044999999989,-0.30219014000000005,141.40760734025588,141.33320161499358,140.20350858087266,143.86991236828231,142.51630436629253,144.75258039786576,962.0,1371.5,1775.5,2482.5,3648.5,2934.5,,,,,,,
FE-30_2022-04-15,2022-03-27,0.16607431816529394,13.91319390846181,0.1077557574089366,0.1210980529816677,-0.08041202817882184,0.11192783284930849,10.607318134960241,0.03734399999999997,0.4502980961807849,0.34202818045727035,0.1622851069215475,-0.18655085219692458,0.10850751004652945,0.4769350400000001,0.01246994999999998,-0.286666215,142.4418288201762,142.2709006279594,141.2082448067552,144.586213499253,143.37533220528607,145.56669472764696,930.0,1315.0,1701.0,2378.5,3469.5,2794.5,,,,,,,
FE-30_2022-04-15,2022-04-01,0.17171380009825518,14.69897667403985,0.11603000728778742,0.1311598132639678,-0.08053087287701066,0.11853716733365122,11.211349678995937,0.032478,0.4811599868055677,0.3545979807159037,0.18718569158432605,-0.1947409391546905,0.1099747575026097,0.495801205,0.018301100000000018,-0.30797794,140.16325980703053,138.42247285521302,137.92614955372653,139.8245453308597,140.16913779199388,143.61468957878827,860.0,1298.0,1765.5,2497.5,3705.5,2935.0,,,,,,,
FE-30_2022-04-15,2022-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-30_2022-04-15,2022-04-04,0.17360868883574312,13.02038639424914,0.10187437186921848,0.11985542101851708,-0.07958282926016538,0.11815761180638276,11.188016700410248,0.041190000000000025,0.4547148600928711,0.3428887478346204,0.16475021691606895,-0.17999691536160395,0.11411432152521661,0.48364460500000006,0.015542804999999996,-0.29175629000000003,142.64967041382437,141.98158037127783,140.03895070389314,143.8986518915655,141.89681019972613,143.87271189551774,925.0,1314.5,1716.0,2437.0,3507.0,2858.5,,,,,,,
FE-30_2022-04-15,2022-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-30_2022-04-15,2022-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-30_2022-04-15,2022-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-30_2022-04-15,2022-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-30_2022-04-15,2022-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-30_2022-04-15,2022-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-30_2022-04-15,2022-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-30_2022-04-15,2022-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-30_2022-04-15,2022-04-27,0.17368282748775135,13.83068842392774,0.10892289754639763,0.11006264658956871,-0.055859577551178305,0.12544674836867284,11.835329370753664,0.049367999999999974,0.4357297965993635,0.3281341023845411,0.1570586578064786,-0.1637860550432625,0.12205953976723452,0.5340792750000001,0.019051444999999986,-0.30797660000000004,138.08941265035514,138.5546282524008,135.69643516727385,141.95743660112376,138.1186238230353,139.62189630846308,1029.0,1490.5,1918.5,2725.0,3792.5,3047.5,,,,,,,
FE-30_2022-04-15,2022-04-28,0.1715813915122505,13.343764954015292,0.10418694961421747,0.10820585767656794,-0.061685832971292334,0.12326101305631895,11.6315028926216,0.04482600000000002,0.43918891268566573,0.3271417513358711,0.16363339683214304,-0.16481317343615448,0.12053440942495618,0.529103395,0.017880855000000036,-0.306828455,140.31866724619533,139.32618658690257,136.68811591147912,141.25684173896482,138.58209280471806,140.6039778267061,1034.5,1463.0,1903.5,2692.0,3754.5,3046.0,,,,,,,
