Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2
93_2018,2017-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93_2018,2018-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93_2018,2018-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93_2018,2018-01-09,0.2707665374471413,13.617251429544385,0.13461240604542127,0.15250132406941314,0.011641396836408148,0.17720451868914086,16.84732348905083,0.09853476923076922,0.4908300836376993,0.3822968576421112,0.1385203163529955,-0.1228673286529088,0.1696183602772924,0.4324870346153847,0.049016538461538466,-0.2541001161538462,143.59250745266607,144.72895490693097,131.13451123463963,148.4147525939191,131.1070497077649,129.14617058406532,721.6923076923077,1075.6923076923076,1412.1538461538462,2460.923076923077,3149.230769230769,2403.153846153846
93_2018,2018-01-11,0.29627653192418724,11.755438645593975,0.12313161235425947,0.13386052254806236,0.05336052497246792,0.1918217124523339,18.260376364972267,0.1153790769230769,0.46486249810206604,0.36026904206952864,0.1244265546344173,-0.06967295108174858,0.1804077711053528,0.4091696092307693,0.05816341461538462,-0.22318303769230774,139.45470572833622,143.61722876745074,127.92662081371978,150.42226809033554,128.40315264418632,125.38917465834045,639.0,1030.3076923076924,1330.1538461538462,2456.230769230769,2816.846153846154,2205.230769230769
93_2018,2018-01-14,0.27501372030521537,13.464217206721928,0.13430195882728385,0.1495100923184442,0.020488083554924336,0.18007177323402768,17.11983145414975,0.09630738461538459,0.49840359544206775,0.37834551641887515,0.14981408457786138,-0.11380668252810368,0.16963141925472502,0.4292614930769231,0.05221903461538462,-0.2506671115384616,143.4606204544988,143.23238078858438,129.8745519627191,145.77839047270632,129.673840141836,128.18872712513107,685.3846153846154,1042.076923076923,1409.076923076923,2475.4615384615386,3111.846153846154,2377.846153846154
93_2018,2018-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93_2018,2018-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93_2018,2018-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93_2018,2018-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
