Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2
66_2015,2015-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66_2015,2015-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66_2015,2015-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66_2015,2015-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66_2015,2015-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66_2015,2015-03-01,0.2283568563499655,13.695096782179121,0.12398248680045702,0.10517926458768097,0.030653641084004143,0.17442353696906565,16.457953308192746,0.090243,0.4453403469646533,0.31563354942936356,0.1643386499135073,-0.09323876384956571,0.1696750863978266,0.5591168379166668,0.053226344791666685,-0.29552436791666664,139.18134603138955,135.41663998734916,124.13823116490812,135.50192323613695,124.26014409626093,124.45207809022172,1019.9375,1457.25,1975.0,3162.5833333333335,3798.0,2968.9375
66_2015,2015-03-10,0.21702183446780535,13.198249415026476,0.11596217148253074,0.10701746798548954,0.003315814777398359,0.164434993167831,15.511165042500808,0.08001125000000002,0.4492866027852887,0.32228074083325525,0.16642736354900886,-0.11247375469303383,0.16050734994042734,0.5596417385416667,0.045258651250000025,-0.30622467270833337,140.27141843914984,136.5902903189871,127.00990356234445,136.63364523407918,127.29737974741882,127.97207239561118,1034.9791666666667,1466.1875,1977.5833333333333,3087.2291666666665,3857.5,3063.1875
66_2015,2015-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66_2015,2015-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66_2015,2015-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66_2015,2015-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66_2015,2015-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66_2015,2015-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66_2015,2015-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66_2015,2015-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66_2015,2015-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66_2015,2015-06-21,0.2956139259745653,9.503295454634758,0.0982082148379431,0.14755284768584437,-0.009129206342275703,0.20025088309111938,18.996066097907445,0.13194299999999998,0.47576578129450486,0.3915339782484775,0.10439957050388025,-0.10700206157396079,0.2002361500477372,0.47587343458333337,0.05405258104166668,-0.28537287687499996,145.19007686897314,149.54735494330558,130.46932463639908,155.9366701220213,130.0049484860198,125.77374812534076,841.4583333333334,1204.8125,1489.8125,2714.8333333333335,3391.8958333333335,2799.2916666666665
66_2015,2015-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66_2015,2015-07-07,0.25497500133840245,11.35684014502305,0.10856212922342438,0.13346384272912462,-0.012432135632500604,0.1932275845809892,18.233373026952947,0.11796225,0.47536750450418125,0.36465795423488895,0.1398183374155547,-0.12089087917740922,0.1916256143194611,0.5722031158333334,0.05615997875000003,-0.33482385291666666,142.4145677766218,141.32179389740617,126.26183830252114,143.0741946325915,125.92555181868414,123.89748451218476,1015.3958333333334,1447.6041666666667,1896.9166666666667,3202.8541666666665,4069.6041666666665,3277.0833333333335
66_2015,2015-07-16,0.22887543198941165,9.959720030945023,0.08757360706532702,0.13275805161997115,-0.0699696613835562,0.16659298009396825,15.717326016724144,0.08399499999999997,0.4902900226542695,0.37228096162579494,0.15831566960481966,-0.15677034236951212,0.1614865630822938,0.5431498758333334,0.038620106458333345,-0.3408529104166667,144.76725618199677,142.68691203575455,133.05994576619705,143.49514238982593,133.16726152205956,132.65697901791555,945.875,1357.8541666666667,1816.2708333333333,2896.1875,3969.0833333333335,3333.5208333333335
66_2015,2015-07-23,0.22845206239737692,10.6378007261947,0.09403089779698087,0.14262506073194253,-0.0766074983186356,0.16315014919383605,15.40206238507038,0.08352349999999999,0.49422743713036404,0.383117734070823,0.15148603730606594,-0.16958244497349306,0.15811644180318474,0.5296579489583334,0.035685073541666675,-0.33819454541666666,144.31968924559678,143.7210266122846,134.4550932642288,145.64715262778043,134.87975191238078,134.03542517490231,921.0208333333334,1332.2916666666667,1755.75,2794.5208333333335,3933.9166666666665,3262.1875
66_2015,2015-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66_2015,2015-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66_2015,2015-08-24,0.3129102965858041,8.14926599267645,0.09019657311958067,0.15967707486804483,-0.023127455444641534,0.21327802523633652,20.19803210251464,0.14723049999999996,0.49036960586048023,0.41286683659924067,0.09549049677931455,-0.11303112145534928,0.2201971576466045,0.4797538764583334,0.05751145562500001,-0.29785991250000005,150.51111280925076,154.3277947598937,131.22400292707775,159.66543141501896,129.8664407988366,125.14407049078062,872.4791666666666,1184.0,1444.5416666666667,2749.2291666666665,3459.1041666666665,2909.5208333333335
66_2015,2015-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
