Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2
23_2022,2021-12-30,0.2757209904356644,10.0440533718385,0.09846664934901582,0.1137622916455817,0.020738463306067406,0.21321271396397207,20.15043366044904,0.13785171428571427,0.4582106242770453,0.34626802919995503,0.13553913498449535,-0.07786586195952443,0.21049396780806293,0.6005490264285714,0.06949972214285717,-0.3308265557142857,138.98983040670683,139.0343970866411,120.78843113849265,142.34162162109084,120.6198619084179,118.57346659462405,1029.4285714285713,1528.357142857143,2009.0,3487.0,4079.285714285714,3359.3571428571427
23_2022,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_2022,2022-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_2022,2022-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_2022,2022-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_2022,2022-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_2022,2022-01-13,0.2898239164152844,12.13451294713242,0.12458978028172199,0.1320424095394291,0.049981236928738945,0.218941741280707,20.66965010424293,0.1320805714285714,0.48808420826654336,0.3568298874039248,0.1533051516133316,-0.07506188498315614,0.21002053698500692,0.5603778035714286,0.07716456785714286,-0.30786393857142863,140.26691391283956,137.33471917412263,118.88805192800227,138.13081226333205,118.13572950468475,116.66034306926095,899.3571428571429,1347.857142857143,1865.4285714285713,3343.3571428571427,3881.714285714286,3026.785714285714
23_2022,2022-01-15,0.26777189148434094,10.054744790061392,0.09651627017665239,0.11084917048220937,0.016106830365954027,0.2060386867787432,19.461419759912808,0.12859285714285715,0.4565609056134194,0.34092492670999475,0.14066423385460222,-0.08051930302895617,0.20412382185690991,0.5904648507142858,0.06547514214285714,-0.32494422928571437,140.39594383683632,139.23778509784688,122.02633360716042,141.2937538027522,121.65479204578014,119.81428590442702,1037.5,1503.7142857142858,1988.7857142857142,3407.285714285714,4004.0,3308.1428571428573
23_2022,2022-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_2022,2022-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_2022,2022-01-23,0.26027980420083463,10.864366665388133,0.1031088567938349,0.11486237159746905,0.00991200269399005,0.20190312468130925,19.0746644887028,0.12448199999999998,0.4599223353058459,0.3451720526767065,0.14243698998577575,-0.0932790010179099,0.20055719112653242,0.6040895328571428,0.06288373000000001,-0.3364202278571429,140.18669536519096,138.87094858686496,122.45972188635832,140.88312203645918,122.17092320652067,120.56868073399059,1073.0,1544.7142857142858,2040.642857142857,3442.3571428571427,4150.642857142857,3383.5
23_2022,2022-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_2022,2022-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_2022,2022-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_2022,2022-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_2022,2022-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_2022,2022-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_2022,2022-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_2022,2022-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_2022,2022-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_2022,2022-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_2022,2022-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_2022,2022-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_2022,2022-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_2022,2022-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_2022,2022-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_2022,2022-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_2022,2022-02-27,0.2347084974843941,9.384839331319899,0.08260810954827127,0.12247903686262843,-0.059810740595211305,0.1768207781395072,16.683706699668896,0.09410057142857145,0.48209169273061175,0.3642395818949686,0.1559375309278417,-0.14171329456598855,0.1740331464560791,0.5836982285714286,0.04384325357142858,-0.3578277742857143,144.40325482951658,141.93828253511907,130.4831863871855,142.60423061434105,130.38316752096873,129.9000191086879,1035.357142857143,1467.2857142857142,1960.4285714285713,3148.1428571428573,4184.571428571428,3551.0714285714284
23_2022,2022-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_2022,2022-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_2022,2022-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_2022,2022-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_2022,2022-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
