Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2
54_2017,2017-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54_2017,2017-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54_2017,2017-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54_2017,2017-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54_2017,2017-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54_2017,2017-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54_2017,2017-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54_2017,2017-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54_2017,2017-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54_2017,2017-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54_2017,2017-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54_2017,2017-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54_2017,2017-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54_2017,2017-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54_2017,2017-04-07,0.40020306993192784,13.005157308050325,0.17439759121505233,0.18272028173175256,0.15856993707790223,0.286233415852693,27.02516023018833,0.22557092307692306,0.4898566284406104,0.4216413576433177,0.07901411581220429,-0.01361071284700886,0.2938369446075994,0.48291206384615387,0.10807955461538463,-0.24982546,140.7093875604415,148.56633990175533,113.68991768831258,159.22341439460246,112.50401614323498,107.9222603629822,767.3076923076923,1149.8461538461538,1389.8076923076924,3216.230769230769,3327.8076923076924,2346.846153846154
54_2017,2017-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54_2017,2017-04-14,0.45596970041055995,12.594392557478304,0.19944206420203187,0.18826253901849396,0.2431066172338276,0.3363594998910587,31.73367362734179,0.286854,0.4820995630488584,0.43210527355588724,0.06195946085186748,0.052296058118080385,0.355255805020612,0.49481287192307694,0.1397656376923077,-0.23146006615384618,139.40556443501535,150.2060445714919,105.53929922943679,163.84498012804437,104.05222656384082,99.23870810320597,760.3846153846154,1149.3846153846155,1351.5,3562.5,3256.269230769231,2196.3076923076924
54_2017,2017-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54_2017,2017-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54_2017,2017-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54_2017,2017-05-16,0.5634295744211957,8.78291780145248,0.20603857700363476,0.18093069617850535,0.3491001660309952,0.4045831923186215,38.21100805384407,0.3555401538461539,0.4914581926335369,0.4741826587414624,0.03771886781587602,0.1793663250889537,0.422821060972215,0.4409957538461539,0.17565319730769233,-0.18401187115384615,141.6697689695002,155.6304403116753,99.92777543848622,172.561638241485,98.18162299236968,92.86965267568468,555.3461538461538,917.9230769230769,1035.2692307692307,3631.423076923077,2662.576923076923,1851.3076923076924
54_2017,2017-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54_2017,2017-06-01,0.5795059043573062,8.253443603753933,0.2097194448428164,0.1837281628128389,0.36009394813395545,0.4056408671807064,38.350340185676764,0.35776061538461534,0.4755176645531312,0.47990784703661676,0.02382078219467078,0.18854679055933393,0.4294236660413372,0.4070001388461539,0.1723407753846154,-0.16475820923076923,142.46277236397546,160.2481548104233,101.9279068668607,180.63018152677893,100.1276813240644,94.6024941523044,521.4615384615385,847.5384615384615,899.8461538461538,3440.9615384615386,2412.0384615384614,1671.7692307692307
