Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2
91_2018,2017-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91_2018,2018-01-02,0.2962536824978423,14.338467463193789,0.15228389711245766,0.16692763442843694,0.03284126440394552,0.18870020133667445,18.020531519861397,0.10701349999999998,0.5178213069089868,0.40206990700419354,0.14060488583420863,-0.11960151035067175,0.1779000659123504,0.4083761233333334,0.05662032291666668,-0.2419386929166667,145.08588459527803,145.30525518548643,129.71613195028178,147.8111837143048,129.1218689635281,126.54726266330185,635.0,967.9583333333334,1297.6666666666667,2398.0,3024.1666666666665,2228.75
91_2018,2018-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91_2018,2018-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91_2018,2018-01-11,0.2703593232523869,14.123818397893329,0.1403452306890393,0.14913607069278687,0.025174044113649003,0.17846147789249825,16.962025820775377,0.10493599999999999,0.4758907501241012,0.3746914296375696,0.12780135459727981,-0.11531348444357899,0.17218658269675577,0.4347321616666668,0.05005899833333335,-0.2476701329166667,142.13295790827843,144.6107964989985,130.3829490812682,149.42292823911006,130.55624363583811,127.86030608801623,744.8333333333334,1111.4166666666667,1423.25,2489.7916666666665,3120.1666666666665,2356.4583333333335
91_2018,2018-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91_2018,2018-01-14,0.29789067066292857,13.651753917926046,0.14425695661678425,0.16374570721036583,0.033482579697186675,0.1965057694060172,18.679039104696386,0.110784,0.5221475462658115,0.39643880824858496,0.14969136919833484,-0.11100724348995893,0.18310118581364157,0.42920267250000005,0.06182959083333334,-0.25437611958333334,143.8209684444305,142.95949625252956,127.3700290213007,144.76869603366302,126.75746979938911,124.57448259794792,636.5,995.6666666666666,1369.1666666666667,2543.125,3159.0,2365.5416666666665
91_2018,2018-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91_2018,2018-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91_2018,2018-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91_2018,2018-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91_2018,2018-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91_2018,2018-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91_2018,2018-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91_2018,2018-02-16,0.260910171836148,13.821594221509143,0.1338892641926126,0.15414383236870768,-0.0042381619055751295,0.1695108998835078,16.143788892881364,0.0869215,0.5060508129644069,0.38518437861866395,0.15437960889980074,-0.13776840120049874,0.15886456139668204,0.42796709958333334,0.046515415833333344,-0.25745574791666664,144.1577207114902,143.52811363961092,132.18195615263164,145.37750924166997,132.18031068519736,130.90723546757133,686.5416666666666,1041.375,1408.9166666666667,2410.7083333333335,3160.7916666666665,2417.2916666666665
91_2018,2018-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91_2018,2018-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91_2018,2018-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
