Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,NA_pct
Buck,2018-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Buck,2018-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Buck,2018-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Buck,2018-11-09,0.19754077806544157,17.447207278935338,0.1506716293457823,0.1579471439869965,-0.07807798854252045,0.10033524468022757,10.001860735410492,0.04481905740181268,0.48210623687142784,0.4052271689139015,0.11694869129129222,-0.22603366452475915,0.0968853122517407,0.31390084409365565,0.011060281978851972,-0.20159938664652566,152.4896327879716,156.62438724355533,151.9901388697539,161.64830636859435,153.4408138404224,151.80528339990624,627.797583081571,861.3338368580061,1043.3610271903324,1551.8006042296072,2454.605740181269,1817.3972809667673,0.0
Buck,2018-11-13,0.1995585332308871,17.15993406629703,0.14834211624846072,0.187515100180084,-0.12937195932253426,0.10380421523883847,10.290011871344158,0.041705538461538454,0.535574248831911,0.44727577843520366,0.13896964529975447,-0.27242814039910845,0.10009005647058661,0.33753061275384616,0.010040620292307697,-0.24082969398461535,156.9438582033506,157.28675322749058,152.9232011833634,158.8358259134061,153.382114022555,152.86441062721303,642.1984615384615,858.1292307692307,1082.6553846153847,1615.513846153846,2815.7615384615383,2093.4676923076922,0.01812688821752266
Buck,2018-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Buck,2018-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Buck,2018-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Buck,2018-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Buck,2018-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
