Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,FMASK,SZA,SAA,VZA,VAA,maskcov_pct,ATSA
T-110,2022-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-110,2022-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-110,2022-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-110,2022-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-110,2022-03-27,0.1634269258459323,13.86189070275694,0.1066709635836287,0.1106384789230618,-0.0669745958429561,0.1114323115523071,10.54958466012193,0.0425279999999999,0.4246007052478739,0.3266370484836778,0.1468646864686468,-0.1724137931034483,0.1087199463584405,0.48390803,0.0117777599999999,-0.27928838,138.96412768798442,141.35922950613332,140.2365334528255,146.32096817862393,143.364060159979,144.6964212809988,963.0,1387.0,1743.0,2424.0,3434.0,2772.0,,,,,,,
T-110,2022-04-01,0.1733524355300859,14.371054185869,0.1135760037494141,0.1252213938805244,-0.0717793728749527,0.11852416195037,11.218461043959746,0.0438599999999999,0.452914798206278,0.3461756373937677,0.1583231583231583,-0.1838565022421524,0.1123108814702515,0.48735577,0.0164702499999999,-0.2930895,138.19523265958225,139.9520468342863,138.59074581220295,144.4759461843506,141.64508787012545,143.23396584706637,891.0,1342.0,1731.0,2457.0,3564.0,2837.0,,,,,,,
T-110,2022-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-110,2022-04-04,0.1642705632806976,13.654963004327795,0.1051127342013337,0.1088317858187847,-0.0658093797276853,0.1131126257708536,10.700307594020195,0.0431159999999999,0.4244781006958657,0.3249571673329526,0.148582995951417,-0.1697478991596638,0.1097430406852248,0.49151296,0.01273224,-0.2831783,138.05107966613417,140.46607765962025,139.3681145439086,145.59457992675502,142.63590006168246,144.04400213010817,964.0,1406.0,1773.0,2470.0,3480.0,2818.0,,,,,,,
T-110,2022-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-110,2022-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-110,2022-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-110,2022-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
