id,year,Lat,long,date_median,forb_kg_ha,grass_kg_ha,litter_kg_ha,pasture,season,low,high,shape,radius_m
mbs4,2017,43.073200952,-116.761991,2017-08-07,300.28,202.35,633.26,mbs,peak production,NA,NA,circular,60
mbs4,2018,43.073200952,-116.761991,2018-07-18,112.70,101.43,328.35,mbs,peak production,NA,NA,circular,60
mbs4,2019,43.073200952,-116.761991,2019-07-16,66.35,37.62,448.19,mbs,peak production,NA,NA,circular,60
mbs4,2020,43.073200952,-116.761991,2020-07-23,68.16,133.84,786.32,mbs,peak production,NA,NA,circular,60
mbs4,2021,43.073200952,-116.761991,2021-07-13,75.11,63.73,427.65,mbs,peak production,NA,NA,circular,60
mbs4,2022,43.073200952,-116.761991,2022-07-19,65.93,47.82,544.33,mbs,peak production,NA,NA,circular,60
mbs5,2017,43.07346037,-116.7602584,2017-08-09,244.02,175.74,523.61,mbs,peak production,NA,NA,circular,60
mbs5,2018,43.07346037,-116.7602584,2018-07-18,80.69,96.88,440.98,mbs,peak production,NA,NA,circular,60
mbs5,2019,43.07346037,-116.7602584,2019-07-16,59.26,49.85,1004.04,mbs,peak production,NA,NA,circular,60
mbs5,2020,43.07346037,-116.7602584,2020-07-23,69.36,43.19,991.27,mbs,peak production,NA,NA,circular,60
mbs5,2021,43.07346037,-116.7602584,2021-07-13,71.52,18.24,447.37,mbs,peak production,NA,NA,circular,60
mbs5,2022,43.07346037,-116.7602584,2022-07-19,40.82,38.03,675.25,mbs,peak production,NA,NA,circular,60
wbs1,2015,43.168158005,-116.7130521,2015-07-01,56.38,141.53,,wbs,peak production,NA,NA,circular,60
wbs1,2016,43.168158005,-116.7130521,2016-05-24,167.82,332.03,,wbs,peak production,NA,NA,circular,60
wbs1,2017,43.168158005,-116.7130521,2017-06-07,116.35,134.72,416.63,wbs,peak production,NA,NA,circular,60
wbs1,2018,43.168158005,-116.7130521,2018-06-11,20.04,82.39,456.43,wbs,peak production,NA,NA,circular,60
wbs1,2019,43.168158005,-116.7130521,2019-06-03,9.19,47.03,277.71,wbs,peak production,NA,NA,circular,60
wbs1,2020,43.168158005,-116.7130521,2020-06-08,8.85,44.69,250.55,wbs,peak production,NA,NA,circular,60
wbs1,2021,43.168158005,-116.7130521,2021-06-07,9.62,27.94,294.63,wbs,peak production,NA,NA,circular,60
wbs1,2022,43.168158005,-116.7130521,2022-06-06,4.21,67.05,292.37,wbs,peak production,NA,NA,circular,60
wbs2,2016,43.170171842,-116.7223203,2016-06-09,163.01,252.91,,wbs,peak production,NA,NA,circular,60
wbs2,2017,43.170171842,-116.7223203,2017-06-08,148.44,145.64,255.92,wbs,peak production,NA,NA,circular,60
wbs2,2018,43.170171842,-116.7223203,2018-06-06,30.63,51.87,406.94,wbs,peak production,NA,NA,circular,60
wbs2,2019,43.170171842,-116.7223203,2019-06-03,16.45,48.27,188.39,wbs,peak production,NA,NA,circular,60
wbs2,2020,43.170171842,-116.7223203,2020-06-09,25.64,13.68,211.70,wbs,peak production,NA,NA,circular,60
wbs2,2021,43.170171842,-116.7223203,2021-06-08,13.76,22.22,154.78,wbs,peak production,NA,NA,circular,60
wbs2,2022,43.170171842,-116.7223203,2022-06-06,14.81,29.07,85.23,wbs,peak production,NA,NA,circular,60
wbs3,2016,43.17160272,-116.7223271,2016-06-14,178.16,241.01,,wbs,peak production,NA,NA,circular,60
wbs3,2017,43.17160272,-116.7223271,2017-06-08,138.29,171.85,343.85,wbs,peak production,NA,NA,circular,60
wbs3,2018,43.17160272,-116.7223271,2018-06-07,33.57,38.53,608.64,wbs,peak production,NA,NA,circular,60
wbs3,2019,43.17160272,-116.7223271,2019-06-04,13.77,33.75,360.68,wbs,peak production,NA,NA,circular,60
wbs3,2020,43.17160272,-116.7223271,2020-06-09,14.68,27.84,302.25,wbs,peak production,NA,NA,circular,60
wbs3,2021,43.17160272,-116.7223271,2021-06-08,18.34,19.89,140.58,wbs,peak production,NA,NA,circular,60
wbs3,2022,43.17160272,-116.7223271,2022-06-07,18.68,22.91,133.09,wbs,peak production,NA,NA,circular,60
wbs4,2017,43.170576769,-116.7170546,2017-06-08,122.75,163.51,416.61,wbs,peak production,NA,NA,circular,60
wbs4,2018,43.170576769,-116.7170546,2018-06-11,46.58,61.23,495.28,wbs,peak production,NA,NA,circular,60
wbs4,2019,43.170576769,-116.7170546,2019-06-04,16.89,29.41,342.15,wbs,peak production,NA,NA,circular,60
wbs4,2020,43.170576769,-116.7170546,2020-06-08,8.01,27.85,332.38,wbs,peak production,NA,NA,circular,60
wbs4,2021,43.170576769,-116.7170546,2021-06-07,7.40,45.48,243.91,wbs,peak production,NA,NA,circular,60
wbs4,2022,43.170576769,-116.7170546,2022-06-07,60.73,23.27,117.60,wbs,peak production,NA,NA,circular,60
wbs5,2017,43.172316258,-116.7162871,2017-06-07,119.75,158.27,371.87,wbs,peak production,NA,NA,circular,60
wbs5,2018,43.172316258,-116.7162871,2018-06-11,22.54,42.75,443.95,wbs,peak production,NA,NA,circular,60
wbs5,2019,43.172316258,-116.7162871,2019-06-04,20.28,52.40,435.97,wbs,peak production,NA,NA,circular,60
wbs5,2020,43.172316258,-116.7162871,2020-06-08,9.85,10.63,213.38,wbs,peak production,NA,NA,circular,60
wbs5,2021,43.172316258,-116.7162871,2021-06-07,11.84,18.57,132.22,wbs,peak production,NA,NA,circular,60
wbs5,2022,43.172316258,-116.7162871,2022-06-07,12.35,12.55,228.12,wbs,peak production,NA,NA,circular,60
