id,year,Lat,long,date_median,forb_kg_ha,grass_kg_ha,litter_kg_ha,pasture,season,low,high,shape,radius_m,herb_kg_ha,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,Year,CPER_2022,OLS_2022,OLS,LASSO,PLS,PCR,SVR,RF,GBR,kfold
los1,2015,43.14323135,-116.7361871,2015-07-07,90.25,95.88,,los,peak production,,,circular,60,186.13,0.3129583311322183,15.51582007988617,0.1744661682345235,0.1612482714127082,0.0816358749955849,0.1844039078724123,17.799960104291873,0.116923657155289,0.4693423572723204,0.3954904076144135,0.0869659948741201,-0.0942408896966172,0.1807989621698542,0.3566406168961056,0.0513103205650986,-0.1957969541626847,145.69646594093837,152.40335601775442,132.62071448320864,160.4809927471668,132.11414649894672,126.24788647618408,638.9870508294009,926.4695877867184,1111.5594561589774,2124.0433215850985,2566.523334602768,1803.797028401057,2015,2170.1893001643957,278.57929604444837,362.05739523929617,245.35573590984592,212.05624170315494,197.97261057290768,300.5736002264605,362.10635000000025,224.71105738179105,2015.0
mbs1,2015,43.064119139,-116.7489159,2015-07-08,123.22,53.0,,mbs,peak production,,,circular,60,176.22,0.5925571864572541,9.843940381457084,0.239581972836663,0.201097908141567,0.333636060301015,0.3265639185284154,31.93436940672141,0.2524223038334114,0.5045329836254644,0.522233778876803,-0.012257267175939,0.1027398761715997,0.3286969069468518,0.2841920410270156,0.1142962032542471,-0.1298556889078607,146.55745913078923,167.63090644012686,116.23486153735962,189.57850423096136,113.64367425306426,103.88772150844686,368.9997793691664,620.1692897885679,591.2078476890374,2312.7656175910142,1881.6941415988208,1157.1174932394758,2015,2609.9896000733306,631.1937022406805,402.8911430268978,309.3453961270842,509.84564016402345,468.86967918065847,344.3318926262584,289.15774999999974,164.61390903319804,2015.0
wbs1,2015,43.168158005,-116.7130521,2015-07-01,56.38,141.53,,wbs,peak production,,,circular,60,197.91,0.2577374460222309,14.185585025480364,0.1390409340767998,0.1393840758442614,0.0214330451224471,0.1564741147582187,15.028323217373556,0.0879074807096838,0.4546574631574766,0.3648021802207208,0.1146569235790019,-0.1180184628842511,0.155061785527333,0.3826715328711779,0.0370632535380527,-0.2141847575533374,148.87865447403087,150.91598203271343,137.03816127744187,154.45999790142724,136.58398962561213,133.0338046909924,748.0936340803285,1019.3355968512026,1264.7932431938516,2141.174309437859,2714.933461522004,2058.0759276179147,2015,1664.0277593364779,175.62169176820052,208.80091617280146,223.00946785627985,193.71186075631488,179.63368455085677,321.16599483518826,188.93964999999986,138.46584289878749,2015.0
los1,2016,43.14323135,-116.7361871,2016-06-20,209.49,260.76,,los,peak production,,,circular,60,470.25,0.313765976472846,13.378136993429646,0.1466817241494944,0.1642248579366246,0.0403273761339204,0.186718254408152,17.994062010037954,0.1166761208758484,0.4873349576421603,0.4072197281867826,0.0954117755567878,-0.1069359584893783,0.1845950168694176,0.3674987397978833,0.0504668923128202,-0.2136079846740788,149.7478208675979,154.17969600951128,133.97172430238177,159.76000799257525,132.86552431853698,127.5081894052294,658.1886639962775,922.3558764326956,1127.3731484581845,2159.726032568079,2675.704205148122,1990.6827803290016,2016,1650.3847210321885,127.44928042461753,139.36699887340566,136.17443483527828,144.2510153135182,142.45116287989543,165.26529601052104,203.32860000000016,184.07404957419763,2016.0
los2,2016,43.127015833,-116.7368355,2016-06-22,203.33,323.16,,los,peak production,,,circular,60,526.49,0.3870768353401773,13.030240770489108,0.1726246940176547,0.1849064365086178,0.0922195246820654,0.2124872205855258,20.79627841461181,0.1418380045142239,0.5111959989559418,0.454608227949493,0.0612030664481977,-0.0816475445051346,0.2103638151218645,0.318943635473553,0.0611012447274717,-0.1859237091967141,152.57774905514125,160.74412933649305,132.79348249703028,169.40435024223825,130.92836140728303,123.36404808432832,537.7011420315371,764.0719316440063,886.5898382240209,2004.3037128122592,2361.652228958543,1665.9998165601078,2016,2290.235112636304,155.58973604521498,145.7117958643061,216.51282697900695,227.70248376591184,226.78666616681315,238.67319053621256,140.02439999999987,112.58894868657103,2016.0
los3,2016,43.128021228,-116.7388411,2016-06-23,269.66,291.8,,los,peak production,,,circular,60,561.46,0.3770303834596238,13.609874183122166,0.1768181053630515,0.1898416673961613,0.0962262016496265,0.2235313517211773,21.558105966315868,0.1480027213773677,0.5246182767261353,0.4457818212915451,0.0856001154461716,-0.0818346890175206,0.2204447487155589,0.3565176406098449,0.0691144765965233,-0.2072800448607487,151.43872590661525,155.888059636497,128.58758831978793,161.3392717391677,126.53063566569708,120.391313611656,579.4298388133585,824.6708840144771,1014.7050414036252,2248.3720548069223,2645.6952994270737,1850.0740919610332,2016,1887.3050123409216,217.53188654429346,245.54237466612,373.2650840434875,415.589820016855,412.50240708098835,306.02517789579133,189.77704999999995,156.20332656376257,2016.0
mbs1,2016,43.064119139,-116.7489159,2016-07-05,260.88,189.65,,mbs,peak production,,,circular,60,450.53,0.5846322231481005,9.35511917042026,0.2192832759594654,0.2087366060952107,0.285729058223075,0.3190028168671626,31.262109772729804,0.2438792176868093,0.5242548175476638,0.5365705925870425,-0.0084815074116427,0.0715540440119428,0.319366293862619,0.2858167461832728,0.1092850521656384,-0.1422253887330936,148.03022116947477,168.17135057459092,118.47621671215558,189.06561256334427,115.9008784263282,106.16193049418474,364.76541976163503,611.7600249772053,592.2897061012502,2264.80253903292,1959.8221500419995,1257.592953572093,2016,2341.118563406293,242.9157347149337,181.18205014338295,162.94971961222473,190.1863561940879,201.79912160983213,198.02358128643615,170.36784999999992,141.39293203540257,2016.0
mbs2,2016,43.072781143,-116.7701807,2016-07-06,240.03,207.75,,mbs,peak production,,,circular,60,447.78,0.637324167546548,8.91932017975732,0.2561532376436989,0.224156574989545,0.3655335322810403,0.3670501493672585,35.58282385156096,0.2943318922598028,0.5277525798649435,0.5604054889878136,-0.0197838505493552,0.1228715242184027,0.3693326131951117,0.299175064495611,0.1349680142968444,-0.1362804909304569,143.3943131286092,167.42414771344588,110.59143487697146,193.466824460528,108.10020298686196,98.82362280022993,329.5731643310375,614.086650617897,562.2302113870578,2550.0238762467247,1990.143913551408,1184.611304556849,2016,1984.6222601654429,176.20465151036746,159.16942767619375,138.20740986621195,141.23248365932864,152.11755271745824,161.1856092347393,168.77834999999982,141.39293203540257,2016.0
mbs3,2016,43.071059894,-116.769988,2016-07-06,229.36,229.42,,mbs,peak production,,,circular,60,458.78,0.6171838169819062,8.733850527946071,0.2275260023803139,0.2200309774990782,0.308044646891465,0.340215113304342,33.267697154084985,0.2640637326611938,0.5372474784300327,0.5607759931515935,-0.0157676360868246,0.0872122264681739,0.3398005515094059,0.2877268119731996,0.1190327140623229,-0.142921654448955,146.4080272334284,168.57755906801407,115.68008587514532,191.90309008656595,113.1320974663558,103.45117109471217,331.8125898349139,594.2163254344958,557.2914846771064,2351.0654951148917,1976.826114884945,1247.28034885762,2016,2127.3121552463685,200.34384646050887,173.75791384423997,143.13171912129252,161.88384002558948,171.15757858690077,192.23380966098418,183.48114999999996,141.39293203540257,2016.0
wbs1,2016,43.168158005,-116.7130521,2016-05-24,167.82,332.03,,wbs,peak production,,,circular,60,499.85,0.2848597738986643,12.415417865218268,0.1254353364634293,0.1284291896022506,0.039927041398321,0.159939546485162,15.599498976261438,0.0954507909039972,0.4421404251748244,0.3618038901069225,0.0971093400771396,-0.0859964415921948,0.1582962218760527,0.3292545313496798,0.03943514938258,-0.1798081943765629,151.15763793932308,155.6057309652988,139.14367802001112,160.91561822057375,138.53034047940142,133.67689719523392,636.0795548435004,874.1093513386919,1055.2667171138603,1914.3732446480517,2270.11901812172,1771.530163301239,2016,2392.0910435072706,155.51938156976848,74.5394538643407,126.92221811157198,74.90131757939602,75.783666825841,50.531201744308845,118.18534999999996,128.01203277293337,2016.0
