Unnamed: 0,Block_name,Treatment,Pasture,Date,Site,Ranch,Year,Low.reading_mean,Low.reading_sd,High.reading_mean,High.reading_sd,Low.rounded_5_mean,Low.rounded_5_sd,Low.rounded_10_mean,Low.rounded_10_sd,High.rounded_5_mean,High.rounded_5_sd,High.rounded_10_mean,High.rounded_10_sd,Sample_ID_vor,Date.y,Site.y,Ranch.y,Treatment.y,Block_name.y,Year.y,mean_biomass,sd_biomass,Sample_ID_bio,X_coord,Y_coord,ID,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,CPER_2022,OLS_2022,OLS,LASSO,PLS,PCR,SVR,RF,GBR,kfold
22,1,PR,1_PR,2023-08-16,OK,CR,2023,42.60869565,17.66027677,78.95652174,18.65348678,44.7826087,17.86809376,46.95652174,18.44766125,79.34782609,18.10978815,79.56521739,17.70420106,2023-08-16_OK_CR_PR_1,8/16/2023,OK,CR,PR,1,2023,2811.266667,1133.317182,2023-08-16_OK_CR_PR_1,-97.22590555,33.93146845,1_PR_2023,0.598741835,12.56247312,0.33430784,0.275550118,0.39653432,0.403143783,38.21443345,0.340406586,0.575151097,0.553322263,0.022886413,0.075253362,0.399431098,0.394344564,0.170467863,-0.186089935,135.9482906,153.6690954,99.08138652,177.2209585,96.95033944,90.21162016,378.8081095,759.0225771,829.1259832,3269.005967,2838.420751,1428.507996,1167.2465877536686,2770.4385366950046,2712.5383678002977,2787.116972025137,2984.802672591185,2939.07298327828,2823.2950791541844,2870.2200161234828,2892.688050095386,kfold10
23,1,PR,1_PR,2023-07-20,OK,CR,2023,54.52631579,9.447918178,83.94736842,11.56850938,56.31578947,9.404801561,57.89473684,9.763280055,84.47368421,10.78769062,85.26315789,9.642741111,2023-07-20_OK_CR_PR_1,7/20/2023,OK,CR,PR,1,2023,2675.133333,509.7814695,2023-07-20_OK_CR_PR_1,-97.22590555,33.93146845,1_PR_2023,0.828658839,5.536460153,0.41942166,0.287410743,0.658551524,0.572882128,54.18255321,0.552742809,0.510146259,0.685544429,-0.069633832,0.330028532,0.622423805,0.356278157,0.258690088,-0.095695062,130.9709519,174.6388665,82.65967175,219.6421686,80.28797411,73.16581899,249.9850037,638.1556306,365.8594493,3909.363648,1967.797052,803.9873821,579.0801984998129,3353.720897656168,3540.3119383356166,3148.360813704702,2001.7217897706448,1959.6913950385206,2488.447038985714,2369.414391701619,2823.2389158139526,kfold10
25,1,PR,1_PR,2023-05-25,OK,CR,2023,21.76666667,5.449981546,48.3,12.35997433,24.33333333,5.529440536,26.66666667,5.466722736,50.33333333,12.45220749,52.33333333,12.50746903,2023-05-25_OK_CR_PR_1,5/25/2023,OK,CR,PR,1,2023,2036.133333,929.0087506,2023-05-25_OK_CR_PR_1,-97.22590555,33.93146845,1_PR_2023,0.716910087,8.287953464,0.337414457,0.295113274,0.461885339,0.467070948,44.42759339,0.422482636,0.548567667,0.636086165,-0.050010466,0.150144203,0.500058733,0.360039119,0.19151848,-0.154956858,138.2944151,172.5883896,96.61712235,209.6471678,94.06076565,85.77926472,371.6909321,706.8364291,541.123288,3295.507914,2435.202365,1211.147759,857.1597377306907,1697.1288364122422,1754.7376127231275,1850.4352822566937,1625.4029882209188,1646.094097742527,1698.0299672400047,1842.4259864661192,1728.7279113207142,kfold10
27,1,PR,1_PR,2023-06-22,OK,CR,2023,29.78571429,9.681433713,81.64285714,11.03601607,31.78571429,9.350607597,34.28571429,9.200874125,82.5,11.01345978,83.57142857,10.26114055,2023-06-22_OK_CR_PR_1,6/22/2023,OK,CR,PR,1,2023,2415.2,876.3223882,2023-06-22_OK_CR_PR_1,-97.22590555,33.93146845,1_PR_2023,0.79075795,6.574709713,0.393795755,0.285945038,0.606614629,0.542742529,51.36462604,0.519719902,0.506986042,0.656518006,-0.065958124,0.282288395,0.582368558,0.362518876,0.24095394,-0.111340989,130.1366207,171.6286571,85.79921158,217.6710711,83.59079949,76.14518527,278.7536458,688.8972957,438.4859814,3776.373044,2110.578398,921.4754123,630.0120212809879,2759.599939759168,3272.034673621743,2889.27479111695,2140.618851835209,2108.8100153346004,2562.2442919283626,2447.5853486199003,2502.442642804079,kfold10
29,2,AD,2_AD,2023-07-20,OK,CR,2023,48.55172414,11.72782469,84.48275862,8.563296635,50.51724138,12.34509934,53.10344828,12.56510141,85.34482759,7.897901449,86.55172414,7.688517444,2023-07-20_OK_CR_AD_2,7/20/2023,OK,CR,AD,2,2023,3345.2,1125.657056,2023-07-20_OK_CR_AD_2,-97.22217445,33.93785447,2_AD_2023,0.815526327,5.935452921,0.412812472,0.285600001,0.643981091,0.561162876,53.09062273,0.5340184,0.525589767,0.673534555,-0.060445896,0.314845468,0.606614229,0.355494255,0.252384866,-0.100430501,133.2140253,173.4736768,83.79674888,215.4904266,81.29441527,74.22241491,259.6011821,623.3587967,390.8603283,3847.448099,2004.383261,832.8828103,637.0328563652625,3488.6163468575264,3023.685231944756,3190.9731752908206,2867.016709786268,3071.281711694535,2834.868105508471,2408.5531891670994,2480.512669616388,kfold9
30,2,AD,2_AD,2023-09-11,OK,CR,2023,48.18181818,15.63767235,87.40909091,7.799017587,49.77272727,15.84728253,51.36363636,15.82507189,87.72727273,6.853444168,87.72727273,6.853444168,2023-09-11_OK_CR_AD_2,9/11/2023,OK,CR,AD,2,2023,2702.066667,2285.447169,2023-09-11_OK_CR_AD_2,-97.22217445,33.93785447,2_AD_2023,0.596308916,12.62944368,0.333595691,0.257876808,0.395676363,0.372232141,35.60323907,0.297609832,0.574578445,0.548177845,0.018798093,0.072191777,0.36494887,0.343963966,0.148248117,-0.161205323,140.133807,156.7389714,104.8721261,176.6142407,102.4841292,94.80779784,348.4310779,667.2391508,722.4906101,2849.081304,2469.698043,1236.309552,2227.8639602975236,3058.3389323803503,2988.3949210904066,2833.9259507797956,2924.5390978311734,2871.792788280596,2844.9187393464185,2703.8905989335417,2485.2600772050255,kfold9
31,2,AD,2_AD,2023-06-22,OK,CR,2023,37.03703704,7.773136588,82.74074074,9.862877535,39.07407407,8.208466201,40.37037037,8.540168203,84.07407407,9.097446497,85.55555556,8.473185457,2023-06-22_OK_CR_AD_2,6/22/2023,OK,CR,AD,2,2023,2442.466667,786.5691137,2023-06-22_OK_CR_AD_2,-97.22217445,33.93785447,2_AD_2023,0.783176918,6.819817189,0.389393371,0.292623645,0.595488517,0.54325801,51.38814071,0.519807493,0.528557753,0.651971374,-0.056266761,0.26838268,0.587369683,0.372612544,0.243771589,-0.120184687,132.8091073,171.6773315,85.40939363,214.2686062,83.01924434,75.85499974,303.4535536,682.091925,465.879158,3841.422918,2218.35446,976.072874,615.068358842365,2985.0723421888683,2796.1283071566,2858.0766604965515,2854.9454736203393,2931.711514960306,2737.1998842943995,2448.0884066424974,2428.434947949203,kfold9
32,2,AD,2_AD,2023-05-24,OK,CR,2023,31.5862069,10.60497606,61.34482759,16.85712198,33.44827586,10.6990861,35.86206897,11.50069606,63.44827586,16.69599226,65.86206897,16.37010371,2023-05-24_OK_CR_AD_2,5/24/2023,OK,CR,AD,2,2023,1378.666667,478.7189349,2023-05-24_OK_CR_AD_2,-97.22217445,33.93785447,2_AD_2023,0.74130115,7.549739382,0.343221823,0.308960416,0.490050038,0.50810992,48.131559,0.47825125,0.560875849,0.650932955,-0.046713324,0.179811701,0.557339614,0.385814808,0.220640284,-0.158093203,138.9623369,174.1078813,91.12939985,210.7262284,88.46200094,81.01094536,382.2876319,711.8388126,537.7103133,3670.260339,2539.121057,1244.963437,641.369733552168,1986.7987256852305,1943.6324578325182,1983.5212411299538,2189.924569628269,2141.395838027989,1826.6946645343437,2031.3938831586768,2019.2333084123375,kfold9
34,2,AD,2_AD,2023-10-12,OK,CR,2023,32.89655172,19.44285551,81.93103448,10.34729445,34.82758621,19.15550828,37.93103448,19.52641258,83.10344828,9.488131035,84.48275862,9.097176523,2023-10-12_OK_CR_AD_2,10/12/2023,OK,CR,AD,2,2023,4074.466667,946.7951978,2023-10-12_OK_CR_AD_2,-97.22217445,33.93785447,2_AD_2023,0.589319261,11.66521641,0.291790524,0.257461208,0.304848791,0.330081074,32.17122676,0.243710802,0.613394448,0.579799688,0.02482623,0.01391334,0.32226744,0.301290994,0.11874548,-0.165948173,150.1763309,163.4231061,115.2151854,177.0930176,112.1839001,103.8049719,322.8309372,555.0201858,614.5373829,2371.450474,2313.884955,1269.649839,3052.475636618762,2458.8700577267286,2294.7542192352985,2233.3639951330515,2300.278023479945,2297.4108994029125,2443.0756803532213,2484.522692442361,2467.679362043853,kfold9
37,2,AD,2_AD,2023-04-20,OK,CR,2023,16.11111111,7.386751828,33.51851852,21.66949357,17.77777778,8.243101234,19.25925926,8.286191445,35.37037037,21.02772556,37.40740741,20.49251131,2023-04-20_OK_CR_AD_2,4/20/2023,OK,CR,AD,2,2023,1175.8,674.6520407,2023-04-20_OK_CR_AD_2,-97.22217445,33.93785447,2_AD_2023,0.570679272,11.16608993,0.25673518,0.273517816,0.243188008,0.342423971,32.95354632,0.274874466,0.576959879,0.58005957,-0.003314266,-0.014782307,0.350960616,0.352075827,0.121758149,-0.202626788,147.6031286,167.3776383,114.5622762,188.8855602,111.8617561,102.8565705,456.4376575,727.0992942,722.3296013,2626.012893,2715.881716,1607.163914,1319.6680481814265,1320.087706077195,1182.7022160524905,1114.6158185999661,1153.2192476416155,1147.6821938955309,1179.4543822871162,1274.3124448579715,1022.1697188419635,kfold9
41,2,AD,2_AD,2023-08-17,OK,CR,2023,53.65,12.68764422,86.95,7.687823592,56.0,12.73205652,58.0,12.81446551,87.25,6.972691091,88.0,5.231483638,2023-08-17_OK_CR_AD_2,8/17/2023,OK,CR,AD,2,2023,2439.866667,807.9478663,2023-08-17_OK_CR_AD_2,-97.22217445,33.93785447,2_AD_2023,0.726481706,8.722078462,0.380324732,0.277648181,0.540145281,0.478285791,45.44883758,0.421791819,0.570289036,0.616737899,-0.021040777,0.203900287,0.490337492,0.3466426,0.205865672,-0.129383582,137.3589413,164.2560394,92.64058456,195.3459754,90.01682033,82.73273837,272.935485,607.5178956,530.6196847,3376.423145,2226.851108,1002.484639,1197.9595110617156,3484.6753218589197,3249.3903551173253,3491.67031681954,3301.177367314686,3408.7705891792393,3403.0315495106997,3208.535650977999,3003.47678635769,kfold9
